char,total_strokes,radical,meaning,category,components,all_radicals
第,11,118.5,"sequence, number; grade, degree",Both,"('竹', '𢎨')","['竹', '丨', '弓']"
筍,12,118.6,bamboo shoot; joint; tendon,Traditional,"('竹', '旬')","['勹', '竹', '日']"
篸,17,118.11,"a basket, hod, scuttle; a hairclasp",Traditional,"('竹', '參')","['竹', '人', '厶', '彡']"
篇,15,118.9,"chapter, section, essay, article",Both,"('竹', '扁')","['竹', '户', '艸', '冂']"
篘,16,118.10,a utensil used to filter wine; a filter,Traditional,"('竹', '芻')","['竹', '勹', '艸']"
箋,14,118.8,"note, memo; stationery; comments",Traditional,"('竹', '戔')","['竹', '戈']"
箪,14,118.8,small bamboo basket for holding,Simplified,"('竹', '単')","['二', '八', '竹', '丨', '十', '冂']"
篅,15,118.9,bamboo silo; bamboo tool,Both,"('竹', '耑')","['竹', '而', '山']"
篏,15,118.9,"inlay, set in; fall into; rugged",Unknown,"('竹', '𣢟')","['竹', '甘', '欠']"
簞,18,118.12,small bamboo basket for holding cooked rice,Traditional,"('竹', '單')","['二', '竹', '丨', '十', '口', '冂']"
籊,20,118.14,long,Both,"('竹', '翟')","['竹', '羽', '隹']"
篮,16,118.10,basket,Simplified,"('竹', '监')","['丿', '丶', '竹', '丨', '皿', '一']"
笵,11,118.5,a bamboo form; a model,Unknown,"('竹', '氾')","['竹', '水', '乙']"
筠,13,118.7,bamboo skin; bamboo,Both,"('竹', '均')","['勹', '土', '亠', '竹']"
籪,24,118.18,a bamboo weir used to catch fish or crabs,Traditional,"('竹', '斷')","['斤', '一', '竹']"
策,12,118.6,"scheme, plan; to whip; urge",Both,"('竹', '朿')","['竹', '木', '冂']"
筴,13,118.7,type of grass used in divination; to divine; pincers,Traditional,"('竹', '夾')","['竹', '人', '大']"
笞,11,118.5,bamboo rod used for beatings,Both,"('竹', '台')","['竹', '厶', '口']"
箯,15,118.9,bamboo palanquin,Both,"('竹', '便')","['人', '丿', '竹', '丨', '日', '一']"
簸,19,118.13,winnower,Both,"('竹', '𤿺')","['皮', '八', '竹', '一', '甘']"
筆,12,118.6,writing brush; write; stroke,Traditional,"('竹', '聿')","['竹', '聿']"
筘,12,118.6,a reed tool used in weaving to push the weft to the weaving mouth,Both,"('竹', '扣')","['竹', '手', '口']"
範,15,118.9,"pattern, model, rule, law",Traditional,"('竹', '𨊠')","['車', '竹', '乙']"
篚,16,118.10,round or oval covered-baskets with short legs,Both,"('竹', '匪')","['竹', '匚', '非']"
笈,9,118.4,bamboo box used carry books,Both,"('竹', '及')","['竹', '丿']"
笫,10,118.5,"bed boards, sleeping mat",Both,"('竹', '𠂔')","['竹', '丨']"
箎,14,118.8,ancient woodwind instrument,Both,"('竹', '虎')","['虍', '几', '竹']"
笏,10,118.4,tablet held by someone having authority,Both,"('竹', '勿')","['勹', '竹']"
筹,13,118.7,"chip, tally, token; raise money",Simplified,"('竹', '寿')","['二', '竹', '丨', '寸', '一']"
篡,16,118.10,usurp,Both,"('算', '厶')","['竹', '目', '大', '厶']"
