char,total_strokes,radical,meaning,category,components,all_radicals
芙,7,140.4,hibiscus,Both,"('艹', '夫')","['人', '艸', '二']"
芶,7,140.4,surname,Both,"('艹', '勾')","['勹', '厶', '艸']"
葢,12,140.9,"cover, hide, protect",Both,"('艹', '盇')","['丶', '大', '艸', '皿']"
落,12,140.9,"fall, drop; net income, surplus",Both,"('艹', '洛')","['口', '水', '艸', '夂']"
蓏,13,140.10,fruit of plant; melon,Both,"('艹', '㼌')","['艸', '瓜']"
芝,6,140.4,sesame; a purplish or brown mushroom thought to have miraculous powers; 'a divine and felicitous plant' (Karlgren),Both,"('艹', '之')","['丶', '戈', '玉', '艸']"
蓝,13,140.10,blue; indigo plant; surname,Simplified,"('艹', '监')","['丿', '丶', '丨', '皿', '一', '艸']"
蒯,13,140.10,a rush,Both,"('萠', '刂')","['月', '刀', '艸']"
蘥,20,140.17,"oats; bromes, an annual herb that can be used as pasture and feed",Both,"('艹', '龠')","['龠', '艸']"
芧,7,140.4,chestnut oak,Both,"('艹', '予')","['艸', '亅', '乙']"
蕙,15,140.12,species of fragrant orchid,Both,"('艹', '惠')","['心', '丨', '十', '日', '艸']"
蕰,15,140.12,the hippuris or mare's tail plant,Simplified,"('艹', '温')","['日', '水', '皿', '艸']"
藥,18,140.15,"drugs, pharmaceuticals, medicine",Traditional,"('艹', '樂')","['幺', '艸', '白', '木']"
荀,9,140.6,surname; ancient state; plant,Both,"('艹', '旬')","['勹', '艸', '日']"
萇,11,140.8,"star fruit, Averrhoa carambola; surname",Traditional,"('艹', '長')","['艸', '長']"
菱,11,140.8,"water-chestnut, water caltrop",Both,"('艹', '夌')","['土', '八', '艸', '夂']"
葆,12,140.9,"reserve, preserve; conceal",Both,"('艹', '保')","['人', '木', '艸', '口']"
苈,7,140.4,Draba nemorosa,Simplified,"('艹', '历')","['艸', '厂', '力']"
萤,11,140.8,"glow-worm, luminous insect",Simplified,"('艹', '虫')","['冖', '虫', '艸']"
蓆,13,140.10,"straw mat, mat",Traditional,"('艹', '席')","['广', '廾', '艸', '巾']"
萵,11,140.9,lettuce,Traditional,"('艹', '咼')","['口', '艸', '冂']"
蓁,13,140.10,"abundant, luxuriant vegetation",Both,"('艹', '秦')","['二', '八', '丨', '禾', '一', '艸']"
苒,8,140.5,"lush; successively, in order",Both,"('艹', '冉')","['土', '艸', '冂']"
蕹,16,140.13,Ipomoea aquatica used as a vegetable,Both,"('艹', '雍')","['丿', '亠', '艸', '隹']"
苽,8,140.5,"bulrush, Zizania latifolia",Unknown,"('艹', '瓜')","['艸', '瓜']"
芤,7,140.4,hollow; scallion stalk,Both,"('艹', '孔')","['子', '艸', '乙']"
莿,11,140.8,thorn,Both,"('艹', '刺')","['刀', '木', '艸', '冂']"
蕢,15,140.12,edible amaranth; straw basket,Traditional,"('艹', '貴')","['丨', '貝', '一', '艸', '口']"
薈,16,140.13,"luxuriant, flourishing, abundant",Traditional,"('艹', '會')","['人', '八', '丨', '日', '一', '艸', '口']"
薆,16,140.13,to cover; to hide; to conceal,Traditional,"('艹', '愛')","['心', '夂', '爪', '冖', '艸']"
薩,16,140.14,"transliteration of 'sat' in 'bodhisattva,' etc.",Traditional,"('艹', '隡')","['生', '厂', '艸', '阝', '立']"
萐,11,140.8,lucky plant,Both,"('艹', '疌')","['十', '聿', '艸', '止']"
莫,10,140.7,"do not, is not, can not; negative",Both,"('艹', '旲')","['日', '大', '艸']"
茚,8,140.6,indene,Both,"('艹', '印')","['一', '艸', '卩']"
菥,11,140.8,pennycress,Both,"('艹', '析')","['斤', '木', '艸']"
茎,8,140.5,"stem, stalk",Simplified,"('艹', '圣')","['艸', '工']"
葱,12,140.9,"scallions, leeks, green onions",Both,"('艹', '怱')","['勹', '丶', '艸', '心']"
藴,18,140.15,collect,Both,"('艹', '緼')","['日', '糸', '皿', '艸']"
菸,11,140.8,to fade; withered or dried leaves; (same as 烟 煙) tobacco,Both,"('艹', '於')","['人', '丶', '艸', '方']"
薘,15,140.13,"Plantago major, broadleaf plantain",Traditional,"('艹', '達')","['羊', '土', '艸', '辵']"
葊,12,140.9,cottage,Unknown,"('艹', '弇')","['人', '廾', '一', '艸', '口']"
荦,9,140.6 93.5,brindled ox; brindled in color,Simplified,"('艹', '牛')","['冖', '牛', '艸']"
葄,12,140.9,mat,Both,"('艹', '胙')","['丿', '二', '丨', '月', '一', '艸']"
荘,9,140.6,"village, hamlet; villa; surname",Unknown,"('艹', '壮')","['爿', '艸', '士']"
葳,12,140.9,"luxuriant, flourishing; used for various plants",Both,"('艹', '威')","['女', '厂', '戈', '一', '艸']"
蓧,13,140.11,bamboo basket; weeder; rake,Both,"('艹', '條')","['人', '夂', '丨', '十', '小', '艸']"
蕾,16,140.13,"buds, unopened flowers",Both,"('艹', '雷')","['田', '艸', '雨']"
蔓,14,140.11,"creeping plants, tendrils, vines",Both,"('艹', '曼')","['日', '网', '又', '艸']"
莹,10,140.7 96.5,"luster of gems; bright, lustrous",Simplified,"('艹', '玉')","['冖', '玉', '艸']"
茼,9,140.6,Chrysanthemum coronarium,Both,"('艹', '同')","['一', '口', '艸', '冂']"
藺,19,140.16,rush used in making mats; surname,Traditional,"('艹', '閵')","['隹', '艸', '門']"
蒌,12,140.9,Artemisia stelleriana,Simplified,"('艹', '娄')","['女', '艸', '米']"
苗,8,140.5,sprouts; Miao nationality,Both,"('艹', '田')","['田', '艸']"
芲,7,140.4,flower,Both,"('艹', '仑')","['人', '匕', '艸']"
萜,11,140.8,terpene,Both,"('艹', '帖')","['卜', '艸', '口', '巾']"
薿,17,140.14,flower,Both,"('艹', '疑')","['疋', '匕', '艸', '矢']"
菊,11,140.8,chrysanthemum,Both,"('艹', '匊')","['勹', '艸', '米']"
菰,11,140.8,wild rice; Zizania latifolia,Both,"('艹', '孤')","['子', '艸', '瓜']"
荻,10,140.7,"reed, Miscanthus saccariflorus",Both,"('艹', '狄')","['火', '艸', '犬']"
蒓,13,140.10,Brasenia schreberi,Traditional,"('艹', '純')","['糸', '屮', '十', '艸', '乙']"
薔,16,140.13,rose,Traditional,"('艹', '嗇')","['土', '囗', '艸', '人']"
蓠,13,140.10,Gracilaria verrucosa,Simplified,"('艹', '离')","['丿', '凵', '禸', '亠', '艸']"
菼,11,140.8,rush or sedge,Both,"('艹', '炎')","['火', '艸']"
茳,9,140.6,"Cyperus malaccensis, short-leaved Malacca galingale",Both,"('艹', '江')","['水', '艸', '工']"
苫,8,140.5,rush or straw matting,Both,"('艹', '占')","['卜', '艸', '口']"
蕩,15,140.12,"pond, pool; wash away, cleanse",Traditional,"('艹', '湯')","['水', '勹', '日', '一', '艸']"
董,12,140.9,"direct, supervise; surname",Both,"('艹', '重')","['十', '里', '艸']"
菘,11,140.8,"celery, cabbage",Both,"('艹', '松')","['厶', '艸', '木', '八']"
蕨,15,140.12,"Pteris aquilina, common bracken",Both,"('艹', '厥')","['八', '屮', '厂', '一', '欠', '艸']"
薬,16,140.13,"drugs, pharmaceuticals, medicine",Unknown,"('艹', '楽')","['艸', '白', '木', '冫']"
蘯,20,140.17,to toss about; to swing; to rock,Both,"('艹', '盪')","['水', '勹', '皿', '日', '一', '艸']"
茬,9,140.6,harvest,Both,"('艹', '在')","['丿', '土', '人', '一', '艸']"
芑,6,140.3,white millet,Both,"('艹', '己')","['己', '艸']"
苇,7,140.4,reed,Simplified,"('艹', '韦')","['韦', '艸']"
苴,8,140.5,sackcloth; female hemp plant,Both,"('艹', '且')","['月', '一', '艸']"
蔭,13,140.11,"shade, shelter; protect",Traditional,"('艹', '陰')","['人', '丶', '二', '厶', '阝', '艸']"
菁,11,140.8,flower of leek family; turnip,Both,"('艹', '靑')","['青', '艸']"
苎,7,140.4,"china grass, ramie",Simplified,"('艹', '㝉')","['宀', '一', '艸']"
苡,7,140.5,barley,Both,"('艹', '以')","['人', '丶', '艸', '乙']"
芬,7,140.4,"fragrance, aroma; perfume",Both,"('艹', '分')","['刀', '八', '艸']"
葭,12,140.9,"bulrush, reed; flute, whistle",Both,"('艹', '叚')","['又', '二', '尸', '艸']"
藊,17,140.14,a kind of bean with flat pods,Both,"('艹', '稨')","['禾', '户', '艸', '冂']"
芭,7,140.4,plantain or banana palm; fragrant,Both,"('艹', '巴')","['丨', '艸', '乙']"
莓,10,140.7,moss; edible berries,Both,"('艹', '每')","['一', '丿', '毋', '艸']"
薴,17,140.14,"China grass, ramie (Boehmeria nivea); limonene",Traditional,"('艹', '寧')","['心', '皿', '宀', '一', '艸', '亅']"
蘡,20,140.17,a wild grape,Traditional,"('艹', '嬰')","['女', '貝', '艸']"
蕸,15,140.13,water lily's leaf,Both,"('艹', '遐')","['二', '又', '尸', '艸', '辵']"
蒻,13,140.10,rushes,Both,"('艹', '弱')","['弓', '艸', '冫']"
薰,17,140.14,a medicinal herb; to cauterize,Both,"('艹', '熏')","['土', '火', '八', '丨', '十', '艸', '口']"
薺,17,140.14,water-chestnuts; caltrop,Traditional,"('艹', '齊')","['齊', '艸']"
蘤,20,140.14,"flower, blossoms",Both,"('艹', '𤾡')","['丿', '火', '爪', '白', '艸']"
薪,16,140.13,"fuel, firewood; salary",Both,"('艹', '新')","['十', '立', '小', '斤', '艸']"
蕁,15,140.12,nettle,Traditional,"('艹', '尋')","['寸', '彐', '工', '艸', '口']"
艽,5,140.2,a root; a lair,Both,"('艹', '九')","['丿', '艸']"
荽,10,140.7,coriander,Both,"('艹', '妥')","['女', '艸', '爪']"
茣,10,140.7,"mat, matting",Both,"('艹', '吴')","['一', '大', '艸', '口']"
芩,7,140.4,Phragmites japonicus,Both,"('艹', '今')","['人', '丶', '艸']"
莴,10,140.7,lettuce,Simplified,"('艹', '呙')","['冂', '人', '艸', '口']"
蕭,16,140.12,common artemisia; sighing of wind; mournful; dejected,Traditional,"('艹', '肅')","['一', '聿', '艸']"
萝,11,140.8,type of creeping plant; turnip,Both,"('艹', '罗')","['网', '艸', '夕']"
荞,9,140.6,buckwheat,Simplified,"('艹', '乔')","['大', '艸']"
茢,9,140.6,sedges; rushes,Both,"('艹', '列')","['艸', '歹', '刀']"
茱,9,140.6,dogwood,Both,"('艹', '朱')","['一', '木', '艸']"
薦,16,140.13,"offer, present; recommend",Traditional,"('艹', '廌')","['广', '火', '艸', '襾']"
藙,18,140.15,dogwood,Both,"('艹', '毅')","['勹', '艸', '立', '殳']"
茯,9,140.6,China root; Wolfiporia extensa,Both,"('艹', '伏')","['人', '艸', '犬']"
蕪,15,140.12,luxurious growth of weeds,Traditional,"('艹', '無')","['火', '艸']"
芨,6,140.4,Chinese ground orchid,Both,"('艹', '及')","['丿', '艸']"
葽,12,140.9,"type of grain, Polygala japonica",Unknown,"('艹', '要')","['女', '襾', '艸']"
茉,8,140.5,white jasmine,Both,"('艹', '末')","['一', '木', '艸']"
藐,17,140.14,"disregard, slight, disdain",Both,"('艹', '貌')","['艸', '白', '豸', '儿']"
荭,9,140.6,herb,Simplified,"('艹', '红')","['艸', '纟', '工']"
莢,10,140.7,pods of leguminous plants; pods,Traditional,"('艹', '夾')","['人', '大', '艸']"
芋,6,140.3,taro,Both,"('艹', '于')","['干', '艸', '亅']"
蕚,15,140.12,the calyx of a flower; younger brother,Both,"('艹品', '亏')","['二', '艸', '口']"
蓪,13,140.11,paper-plant; Aralia papyrifera,Both,"('艹', '通')","['艸', '用', '辵']"
蕖,14,140.12,"lotus, water-lily",Both,"('艹', '渠')","['匚', '水', '木', '艸']"
蔿,15,140.12,surname; place name,Traditional,"('艹', '爲')","['丿', '火', '艸', '爪']"
苳,8,140.5,Petasites japonicus,Both,"('艹', '冬')","['丶', '艸', '夂']"
蘗,20,140.17,"stump, sprout",Both,"('艹', '檗')","['木', '尸', '辛', '艸', '口']"
蕲,15,140.12,variety of Artemisia,Simplified,"('艹', '单斤')","['二', '八', '丨', '十', '斤', '艸', '冂']"
蒭,13,140.10,to cut grass; hay; fodder,Traditional,"('艹', '芻')","['勹', '艸']"
蕓,15,140.12,"rue, a herb used keep insects away",Traditional,"('艹', '雲')","['二', '艸', '厶', '雨']"
薏,16,140.13,seed of Job's tears; lotus seed,Both,"('艹', '意')","['心', '艸', '音']"
苜,8,140.5,clover,Both,"('艹', '目')","['目', '艸']"
蒦,13,140.10,to measure; to calculate,Both,"('艹', '隻')","['隹', '又', '艸']"
蒲,13,140.10,type of rush; vine,Both,"('艹', '浦')","['丶', '水', '用', '十', '艸']"
莟,10,140.7,a bud,Both,"('艹', '含')","['人', '丶', '艸', '口']"
莼,10,140.7,an edible water plant-brasenia,Simplified,"('艹', '纯')","['纟', '屮', '十', '艸', '乙']"
蒼,13,140.10,blue; green,Traditional,"('艹', '倉')","['人', '丶', '丨', '彐', '艸', '口']"
蕉,15,140.12,banana; plantain,Both,"('艹', '焦')","['火', '隹', '艸']"
芗,6,140.3,fragrant smell of grain; aromatic,Simplified,"('艹', '乡')","['丿', '艸']"
菲,11,140.8,"fragrant, luxuriant; the Philippines",Both,"('艹', '非')","['艸', '非']"
苦,8,140.5,"bitter; hardship, suffering",Both,"('艹', '古')","['十', '艸', '口']"
花,7,140.4,flower; blossoms,Both,"('艹', '化')","['人', '匕', '艸']"
茲,9,140.6,"now, here; this; time, year",Traditional,"('艹', '𢆶')","['幺', '艸']"
芽,7,140.4,"bud, sprout, shoot",Both,"('艹', '牙')","['艸', '牙']"
蔟,14,140.11,frame on which silkworms spin,Both,"('艹', '族')","['丿', '方', '矢', '一', '艸']"
茭,9,140.6,"Zizania latifolia, Manchurian wild rice",Both,"('艹', '交')","['丿', '亠', '八', '艸']"
蓙,13,140.10,"a mat, matting",Unknown,"('艹', '座')","['土', '广', '艸', '人']"
藓,17,140.14,"moss, lichen",Simplified,"('艹', '鲜')","['鱼', '羊', '艸']"
荒,9,140.6,"wasteland, desert; uncultivated",Both,"('艹', '巟')","['丶', '丨', '匸', '儿', '艸']"
蘓,19,140.16,"thyme; revive, resurrect; soviet",Unknown,"('艹', '禾魚')","['禾', '艸', '魚']"
萧,11,140.8,common artemisia; dejected,Simplified,"('艹', '肃')","['聿', '艸', '小']"
蘂,19,140.16,stamen or pistil,Both,"('艹', '橤')","['心', '木', '艸']"
荄,9,140.6,roots of grasses,Both,"('艹', '亥')","['人', '亠', '丨', '艸']"
蔼,14,140.11,"lush; affable, friendly",Simplified,"('艹', '谒')","['人', '讠', '勹', '曰', '艸']"
蓇,12,140.10,follicles of plants,Both,"('艹', '骨')","['骨', '艸']"
蘭,20,140.17,"orchid; elegant, graceful",Traditional,"('艹', '闌')","['門', '八', '丨', '木', '艸', '口']"
薸,17,140.14,duckweed,Both,"('艹', '漂')","['襾', '水', '艸', '示']"
薫,16,140.13,a medicinal herb; to cauterize,Unknown,"('艹', '𤋱')","['十', '里', '火', '艸']"
蓼,14,140.11,"smartweed, polygonum",Both,"('艹', '翏')","['人', '羽', '艸', '彡']"
虀,22,140.19,minced pickles; leeks; mix; salt,Both,"('艹', '韲')","['八', '丨', '亠', '韭', '艸']"
蕊,15,140.12,"unopened flowers, flower buds",Both,"('艹', '惢')","['心', '艸']"
薛,16,140.13,kind of marsh grass; feudal state,Both,"('艹', '')","['丶', '艸', '己', '辛']"
艺,4,140.1,"art; talent, ability; craft",Simplified,"('艹', '乙')","['艸', '乙']"
芀,5,140.2,clover; pea,Unknown,"('艹', '刀')","['刀', '艸']"
蕕,15,140.12,Caryopteris divaricata,Traditional,"('艹', '猶')","['艸', '八', '酉', '犬']"
葫,12,140.9,bottle-gourd,Both,"('艹', '胡')","['月', '十', '艸', '口']"
获,10,140.7,"obtain, get, receive; seize",Simplified,"('艹', '犾')","['艸', '犬']"
若,8,140.5,"if, supposing, assuming; similar",Both,"('艹', '右')","['一', '丿', '艸', '口']"
藉,17,140.14,"mat, pad; rely on; pretext",Both,"('艹', '耤')","['一', '耒', '艸', '日']"
蔣,14,140.11,surname; Hydropyrum latifolium,Traditional,"('艹', '將')","['月', '艸', '爿', '寸']"
蔀,13,140.11,screen,Both,"('艹', '部')","['艸', '立', '口', '阝']"
茠,9,140.6,to weed; to eradicate,Both,"('艹', '休')","['人', '木', '艸']"
茺,9,140.6,motherwort,Both,"('艹', '充')","['厶', '亠', '艸', '儿']"
茔,8,140.5 32.5,"grave, tomb, cemetery",Simplified,"('艹', '土')","['冖', '土', '艸']"
荅,9,140.6,answer: small bean; thick,Both,"('艹', '合')","['一', '人', '艸', '口']"
蓚,12,140.10,oxalic (used in compounds),Both,"('艹', '修')","['人', '夂', '彡', '丨', '艸']"
芒,6,140.3,Miscanthus sinensis,Both,"('艹', '亡')","['丶', '匸', '艸']"
蓣,13,140.10,yam,Simplified,"('艹', '预')","['乙', '艸', '亅', '页']"
蓿,14,140.11,"clover, lucerne",Both,"('艹', '宿')","['人', '宀', '一', '白', '艸']"
蔬,15,140.11,"vegetables, greens",Both,"('艹', '疏')","['厶', '丨', '亠', '疋', '儿', '艸']"
蘇,19,140.16,"revive, resurrect; a species of thyme; transliteration of 'Soviet'",Traditional,"('艹', '穌')","['禾', '艸', '魚']"
藹,19,140.16,"lush; affable, friendly",Traditional,"('艹', '謁')","['人', '言', '勹', '曰', '艸']"
蓌,13,140.10,pretend; crouch,Unknown,"('艹', '夎')","['土', '艸', '夂', '人']"
萼,12,140.9,the stem and calyx of a flower; a younger brother,Both,"('艹', '咢')","['二', '艸', '口']"
菉,11,140.8,the green bamboo; greenish bamboo,Both,"('艹', '录')","['水', '艸', '彐']"
茈,9,140.5,comfrey; a plant yielding a purple dye,Both,"('艹', '此')","['止', '匕', '艸']"
蔘,14,140.11,ginseng; huge,Traditional,"('艹', '參')","['厶', '人', '艸', '彡']"
蔞,14,140.11,Artemisia stelleriana,Traditional,"('艹', '婁')","['女', '十', '艸', '口']"
萚,11,140.8,falling leaves and barks,Simplified,"('艹', '择')","['二', '又', '手', '丨', '艸']"
菅,11,140.8,"coarse grass, Themedia forskalii",Both,"('艹', '官')","['宀', '己', '艸']"
茓,8,140.5,coarse mat; store grain in production silo,Both,"('艹', '穴')","['穴', '艸']"
菇,11,140.8,mushrooms,Both,"('艹', '姑')","['女', '十', '艸', '口']"
莀,10,140.7,to farm; a farmer; agriculture,Both,"('艹', '辰')","['辰', '艸']"
蒿,13,140.10,"mugwort, artemisia; give off",Both,"('艹', '高')","['艸', '高']"
蒽,13,140.10,anthracene,Both,"('艹', '恩')","['心', '囗', '大', '艸']"
蓑,13,140.10,"rain coat made of straw, coir, etc.",Simplified,"('艹', '衰')","['一', '囗', '衣', '艸']"
薅,16,140.13,to weed; to eradicate,Both,"('艹', '媷')","['女', '艸', '辰', '寸']"
菡,11,140.8,"buds, lotus buds",Both,"('艹', '函')","['凵', '艸', '亅', '冫']"
莛,9,140.7,"stalks of grasses, etc.",Both,"('艹', '廷')","['廴', '艸', '士']"
蓋,13,140.10,"cover, hide, protect",Traditional,"('艹', '盍')","['土', '艸', '皿', '厶']"
蔽,14,140.12,"cover, hide, conceal; shelter",Both,"('艹', '敝')","['冫', '艸', '攴', '巾']"
茹,9,140.6,roots; vegetables; eat; bear,Both,"('艹', '如')","['女', '艸', '口']"
荛,9,140.6,"fuel, firewood; stubble; Wikstroemia japonica",Simplified,"('艹', '尧')","['一', '艸', '儿']"
莆,10,140.7,a kind of legendary tree,Both,"('艹', '甫')","['十', '丶', '艸', '用']"
茆,8,140.5,"species of grass, water mallows",Both,"('艹', '卯')","['艸', '卩']"
莲,10,140.7,"lotus, water lily; paradise",Simplified,"('艹', '连')","['车', '艸', '辵']"
藎,17,140.14,"Arthraxon hispidus, small carpetgrass; faithfulness",Traditional,"('艹', '盡')","['火', '聿', '皿', '艸']"
莜,10,140.7,Avena nuda; a bamboo basket,Both,"('艹', '攸')","['人', '丨', '艸', '攴']"
苲,8,140.5,"hornwort, Ceratophyllum",Both,"('艹', '乍')","['丿', '二', '丨', '一', '艸']"
荠,9,140.6,water-chestnuts; caltrop,Simplified,"('艹', '齐')","['齐', '艸']"
莞,10,140.7,"smiling; a kind of aquatic herb, clubrush, Scirpus lacustris",Both,"('艹', '完')","['宀', '二', '艸', '儿']"
茂,8,140.5,"thick, lush, dense; talented",Both,"('艹', '戊')","['艸', '戈', '厂']"
莕,10,140.7,"a water plant, Nymphoides peltalum",Both,"('艹', '杏')","['木', '艸', '口']"
薜,16,140.13,"evergreen shrubs, genus Ligusticum",Both,"('艹', '辟')","['艸', '尸', '辛', '口']"
莅,10,140.7,"attend, be present; arrive at",Both,"('艹', '位')","['人', '艸', '立']"
蓽,13,140.11,species of bean; Piper longum,Traditional,"('艹', '畢')","['二', '丨', '田', '一', '艸']"
苪,8,140.5,"bright; shining, splendid",Both,"('艹', '丙')","['一', '艸', '人', '冂']"
荖,9,140.6,betel pepper,Both,"('艹', '老')","['艸', '老']"
芏,6,140.3,(茳芏) Cyperus malaccensis,Both,"('艹', '土')","['土', '艸']"
萄,11,140.8,grapes,Both,"('艹', '匋')","['勹', '艸', '缶']"
艾,5,140.2,"artemisia, mugwort",Both,"('艹', '乂')","['丿', '艸']"
苟,8,140.5,"careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name",Both,"('艹', '句')","['勹', '艸', '口']"
薹,17,140.14,"Cyperus rotundus, nut grass",Traditional,"('艹', '臺')","['士', '冖', '至', '艸', '口']"
萦,11,140.8 120.5,"entangle, entwine, coil",Simplified,"('艹', '糸')","['冖', '糸', '艸']"
莧,10,140.7,edible greens; amaranth,Traditional,"('艹', '見')","['艸', '見']"
芘,7,140.4,Malva sylvestris,Both,"('艹', '比')","['比', '艸']"
芦,7,140.4,"rushes, reeds",Both,"('艹', '户')","['户', '艸']"
蔡,14,140.11,surname; species of tortoise,Both,"('艹', '祭')","['月', '艸', '示', '卩']"
葠,12,140.9,ginseng,Unknown,"('艹', '侵')","['人', '又', '彐', '冖', '艸']"
莩,10,140.7,membrane lining inside of reed,Both,"('艹', '孚')","['子', '艸', '爪']"
薐,16,140.13,spinach,Both,"('艹', '稜')","['土', '八', '夂', '禾', '艸']"
芳,7,140.4,fragrant; virtuous; beautiful,Both,"('艹', '方')","['艸', '方']"
芍,6,140.3,peony; water chestnuts,Both,"('艹', '勺')","['勹', '丶', '艸']"
萅,11,140.8,spring; wanton,Unknown,"('芚', '日')","['屮', '十', '日', '艸', '乙']"
菶,11,140.8,species of water plant; flower,Both,"('艹', '奉')","['二', '八', '丨', '一', '艸']"
蕺,15,140.13,"Houttuynia cordata, fish mint",Both,"('艹', '戢')","['耳', '戈', '艸', '口']"
蓰,14,140.11,to increase five-fold,Unknown,"('艹', '徙')","['止', '彳', '艸']"
薤,16,140.13,"Allium bakeri; shallots, scallion",Both,"('艹', '')","['艸', '歹', '非']"
茅,8,140.5,"reeds, rushes, grass; surname",Both,"('艹', '矛')","['矛', '艸']"
莪,10,140.7,artemisia,Both,"('艹', '我')","['艸', '戈', '手']"
藾,19,140.16,shade,Traditional,"('艹', '賴')","['刀', '木', '貝', '艸', '口']"
蓺,14,140.11,"art; talent, ability; craft",Both,"('艹', '埶')","['丿', '土', '丶', '八', '艸']"
華,10,140.8,flowery; illustrious; Chinese,Traditional,"('艹', '𠦒')","['一', '丨', '艸', '二']"
苤,8,140.5,kohl rabi,Both,"('艹', '丕')","['丿', '一', '艸', '卜']"
荝,9,140.6,medicinal poison plant,Simplified,"('艹', '则')","['刀', '贝', '艸']"
葍,12,140.9,plant,Unknown,"('艹', '畐')","['一', '田', '艸', '口']"
鿓,12,140.9,caraway,Traditional,,[]
菫,11,140.8,"celery, aconite",Both,"('菫', None)","['丨', '一', '玉', '艸', '口']"
莶,10,140.7,vine,Simplified,"('艹', '佥')","['一', '人', '艸', '小']"
葡,12,140.9,grapes,Both,"('艹', '匍')","['丶', '用', '十', '勹', '艸']"
葹,12,140.9,"kind of chrysanthemum, xanthium",Both,"('艹', '施')","['丿', '丨', '方', '一', '艸', '乙']"
苊,7,140.4,acenaphthene,Both,"('艹', '厄')","['艸', '厂', '乙']"
芃,6,140.3,luxuriant growth,Both,"('艹', '凡')","['几', '艸', '丶']"
芫,7,140.4,Daphne genkwa,Both,"('艹', '元')","['二', '艸', '儿']"
芼,7,140.4,to choose; to select; greens,Both,"('艹', '毛')","['毛', '艸']"
莻,13,140.7,late,Unknown,"('艿', '叱')","['丿', '乙', '一', '艸', '口']"
苧,8,140.5,"China grass, ramie (Boehmeria nivea)",Both,"('艹', '宁')","['宀', '一', '艸', '亅']"
苺,8,140.5,berries,Both,"('艹', '母')","['毋', '艸']"
蔂,14,140.11,"basket, hod",Both,"('艹', '累')","['艸', '田', '糸']"
菖,11,140.8,"iris, sweet flag, calamus",Both,"('艹', '昌')","['日', '艸']"
葸,12,140.9,"afraid, bashful",Both,"('艹', '思')","['心', '田', '艸']"
蘄,19,140.16,variety of Artemisia,Traditional,"('艹', '')","['二', '丨', '十', '口', '斤', '艸', '冂']"
荫,9,140.7,"shade, shelter; protect",Simplified,"('艹', '阴')","['月', '艸', '阝']"
萋,11,140.8,luxuriant foliage; crowded,Both,"('艹', '妻')","['女', '十', '聿', '艸']"
芈,7,140.3,bleat of sheep; surname,Simplified,"('卝', '㐄')","['二', '丨', '卜']"
萍,11,140.8,"duckweed; wandering, traveling",Both,"('艹', '泙')","['干', '水', '八', '艸']"
蔕,14,140.11,peduncle or stem of plants,Unknown,"('艹', '帶')","['巾', '廾', '冖', '儿', '艸']"
蔯,13,140.11,a variety of artemisia,Traditional,"('艹', '陳')","['日', '艸', '木', '阝']"
葒,12,140.9,"Polygonum orientale, prince's feather",Traditional,"('艹', '紅')","['糸', '艸', '工']"
蘨,20,140.17,luxuriant vegetation,Both,"('艹', '繇')","['缶', '糸', '艸', '爪']"
苓,8,140.5,"fungus, tuber; licorice",Both,"('艹', '令')","['人', '丶', '艸']"
蓓,13,140.10,bud,Both,"('艹', '倍')","['人', '艸', '立', '口']"
薊,16,140.13,"genus Cirsium, thistles; surname",Traditional,"('艹', '魝')","['艸', '魚', '刀']"
苕,8,140.5,rush plant,Both,"('艹', '召')","['刀', '艸', '口']"
葩,12,140.9,flowers,Both,"('艹', '皅')","['丨', '白', '艸', '乙']"
萨,11,140.8,Buddhist gods or immortals,Simplified,"('艹', '阝产')","['立', '艸', '阝', '厂']"
葚,12,140.9,mulberry fruit,Both,"('艹', '甚')","['匚', '甘', '艸', '儿']"
藏,17,140.14,"hide, conceal; hoard, store up",Both,"('艹', '臧')","['厂', '臣', '戈', '爿', '艸']"
茵,9,140.6,"a cushion, mattress; wormwood; Skimmia japon",Both,"('艹', '因')","['囗', '大', '艸']"
蓀,13,140.10,"aromatic grass; iris, flower",Traditional,"('艹', '孫')","['子', '糸', '艸']"
荡,9,140.6,"pond, pool; wash away, cleanse",Simplified,"('艹', '汤')","['水', '艸']"
菢,11,140.8,to incubate; to brood; to hatch,Both,"('艹', '抱')","['勹', '己', '艸', '手']"
蒙,13,140.10,cover; ignorant; suffer; Mongolia; hexagram ䷃,Both,"('艹', '冡')","['冖', '二', '勹', '艸']"
萹,12,140.9,grass,Both,"('艹', '扁')","['户', '艸', '冂']"
葵,12,140.9,sunflower; measure,Both,"('艹', '癸')","['一', '大', '癶', '艸']"
茍,9,140.5,"to be circumspect, cautious in one's behaviour (distinguish DKW 30790 gou3)",Both,"('卝', '句')","['勹', '卜', '口']"
蔹,14,140.11,"wild vine, Vitis pentaphylla",Simplified,"('艹', '敛')","['人', '小', '一', '艸', '攴']"
蓂,13,140.10,lucky place,Both,"('艹', '冥')","['八', '冖', '亠', '日', '艸']"
萘,11,140.8,naphthalene,Both,"('艹', '奈')","['大', '艸', '示']"
萎,11,140.8,"wither, wilt",Both,"('艹', '委')","['禾', '艸', '女']"
茖,9,140.6,"Allium victorialis, Alpine leek",Both,"('艹', '各')","['口', '艸', '夂']"
