char,decomposition
樶,"['又', '曰', '木', '耳']"
欄,"['門', '八', '丨', '木', '口']"
栔,"['二', '刀', '丨', '木', '一']"
橈,"['土', '一', '木', '儿']"
棣,"['隶', '木']"
柙,"['二', '丨', '木', '冂']"
杝,"['丨', '木', '乙']"
榥,"['木', '小', '儿', '日', '一']"
榅,"['日', '木', '皿']"
楂,"['日', '一', '木']"
梶,"['毛', '尸', '木']"
本,"['一', '木']"
槲,"['角', '木', '斗']"
桑,"['又', '木']"
様,"['羊', '木', '水']"
欐,"['一', '鹿', '木']"
柷,"['木', '口', '儿']"
桂,"['土', '木']"
櫚,"['口', '木', '門']"
樟,"['日', '十', '木', '立']"
棡,"['八', '木', '山', '一', '冂']"
楗,"['聿', '廴', '木']"
槟,"['斤', '八', '木', '宀', '一']"
檗,"['尸', '木', '辛', '口']"
棘,"['木', '冂']"
枸,"['勹', '木', '口']"
杅,"['干', '木', '亅']"
杧,"['丶', '匸', '木']"
檝,"['耳', '戈', '木', '口']"
梘,"['木', '見']"
柅,"['匕', '尸', '木']"
桕,"['臼', '木']"
橾,"['木', '口']"
梽,"['心', '木', '士']"
棸,"['又', '木', '耳']"
椪,"['一', '木', '八']"
枡,"['木', '艸']"
栁,"['木', '卩', '夕']"
椫,"['二', '八', '丨', '木', '十', '冂']"
柴,"['止', '匕', '木']"
檖,"['木', '八', '豕', '辵']"
梨,"['禾', '刀', '木']"
椋,"['小', '亠', '木', '口']"
檑,"['木', '田', '雨']"
棆,"['人', '木', '一', '艸', '冂']"
来,"['一', '木', '八']"
桟,"['一', '戈', '木']"
梄,"['木', '酉']"
栢,"['一', '白', '木']"
楕,"['丿', '木', '工', '月', '一']"
棄,"['厶', '木', '亠', '山', '一']"
架,"['口', '木', '力']"
柢,"['丶', '氏', '木']"
松,"['厶', '木', '八']"
椝,"['人', '见', '木', '二']"
椓,"['勹', '一', '丶', '木']"
檵,"['一', '木']"
榔,"['丶', '丨', '木', '彐', '阝', '乙']"
欓,"['木', '黑', '冖', '小', '口']"
朶,"['丿', '木']"
楛,"['十', '木', '艸', '口']"
椥,"['木', '口', '矢']"
檛,"['口', '木', '冂', '辵']"
梜,"['人', '大', '木']"
末,"['一', '木']"
柔,"['矛', '木']"
槺,"['隶', '广', '木']"
檐,"['八', '刀', '木', '厂', '言']"
椺,"['人', '木', '口']"
樐,"['鹵', '木']"
概,"['丶', '无', '丨', '木', '彐', '乙']"
标,"['木', '示']"
櫳,"['龍', '木']"
橜,"['八', '木', '屮', '厂', '一', '欠']"
权,"['又', '木']"
欋,"['目', '隹', '木']"
桧,"['人', '木', '厶', '二']"
朳,"['木', '八']"
樅,"['人', '彳', '木', '止']"
椇,"['一', '目', '木', '八']"
栞,"['干', '木', '亅']"
椄,"['女', '木', '立']"
梍,"['一', '白', '木', '乙']"
桓,"['日', '一', '木']"
栄,"['冖', '木', '小']"
楟,"['亅', '木', '冖', '亠', '一', '口']"
槃,"['木', '舟', '殳']"
杖,"['丿', '十', '木']"
檀,"['木', '囗', '亠', '日', '一']"
桵,"['女', '木', '爪']"
材,"['一', '丿', '木']"
櫥,"['广', '木', '寸', '豆', '十']"
楝,"['丨', '木', '八', '口']"
梓,"['木', '辛']"
桅,"['刀', '木', '厂', '乙']"
朮,"['十', '丶', '儿']"
椶,"['丿', '凵', '八', '夂', '木']"
榪,"['馬', '木']"
杣,"['木', '山']"
欖,"['丿', '丶', '木', '見', '臣', '一', '网']"
桬,"['丿', '木', '水', '小']"
枘,"['人', '木', '冂']"
枱,"['厶', '木', '口']"
椗,"['宀', '一', '木', '止']"
朽,"['一', '木']"
槁,"['木', '高']"
橥,"['日', '木', '老', '犬']"
椸,"['丿', '丨', '木', '方', '一', '乙']"
枢,"['丿', '匚', '木']"
檻,"['丿', '丶', '木', '臣', '皿', '一']"
権,"['丿', '隹', '木', '十', '一']"
槊,"['八', '木', '屮', '月', '一']"
杭,"['亠', '木', '几']"
攉,"['隹', '手', '雨']"
揈,"['勹', '手', '言']"
揀,"['八', '手', '丨', '木', '口']"
抹,"['一', '木', '手']"
擕,"['隹', '丨', '手']"
擖,"['人', '手', '勹', '曰', '艸']"
抵,"['丶', '氏', '手']"
掾,"['勹', '手', '彐']"
拝,"['一', '丨', '手', '二']"
拼,"['一', '八', '廾', '手']"
擽,"['幺', '白', '木', '手']"
拷,"['一', '手', '老']"
扯,"['止', '手']"
摯,"['土', '丶', '丿', '八', '手', '干']"
掞,"['火', '手']"
攔,"['門', '八', '手', '丨', '木', '口']"
扑,"['卜', '手']"
扢,"['一', '丿', '手', '乙']"
摮,"['丿', '土', '手', '一', '攴']"
挼,"['女', '手', '爪']"
摂,"['手', '耳', '冫']"
搡,"['又', '木', '手']"
搕,"['土', '皿', '厶', '手']"
拠,"['几', '手', '攴']"
折,"['斤', '手']"
捎,"['月', '手', '小']"
掼,"['囗', '贝', '十', '手']"
搌,"['手', '尸', '一', '艸', '乙']"
拨,"['又', '丶', '丨', '手']"
揵,"['聿', '廴', '手']"
撖,"['攴', '手', '耳']"
扛,"['手', '工']"
手,['手']
掷,"['八', '手', '大', '阝', '一']"
攢,"['貝', '手', '牛', '儿']"
摄,"['又', '手', '耳']"
挙,"['一', '八', '手', '小']"
把,"['丨', '手', '乙']"
抮,"['人', '彡', '手']"
摠,"['心', '丶', '手', '夂', '囗']"
捫,"['手', '門']"
撙,"['寸', '八', '酉', '手']"
撓,"['土', '一', '手', '儿']"
拗,"['幺', '手', '力']"
擯,"['丿', '手', '貝', '小', '宀', '一']"
插,"['臼', '十', '手']"
抃,"['亠', '卜', '手']"
揪,"['禾', '火', '手']"
拊,"['人', '寸', '手']"
摁,"['心', '囗', '大', '手']"
抠,"['丿', '匚', '手']"
搊,"['勹', '艸', '手']"
拂,"['弓', '手']"
握,"['尸', '至', '手']"
擅,"['手', '囗', '亠', '日', '一']"
揺,"['干', '山', '手', '爪']"
据,"['十', '尸', '手', '口']"
擀,"['人', '手', '干', '十', '日']"
挂,"['土', '手']"
掔,"['又', '手', '臣']"
擗,"['尸', '辛', '口', '手']"
揭,"['勹', '人', '曰', '手']"
抱,"['勹', '己', '手']"
扒,"['八', '手']"
抖,"['手', '斗']"
拉,"['立', '手']"
搤,"['一', '八', '手', '皿']"
排,"['手', '非']"
搏,"['丶', '手', '寸', '用', '十']"
挖,"['穴', '手', '乙']"
拡,"['广', '厶', '手']"
摻,"['厶', '人', '彡', '手']"
掙,"['彐', '手', '亅', '爪']"
搖,"['月', '手', '缶']"
擣,"['手', '士', '乙', '寸', '工', '一', '口']"
擷,"['頁', '手', '口', '士']"
揲,"['廾', '木', '手']"
搛,"['一', '八', '手', '彐']"
擦,"['月', '手', '示', '卩', '宀']"
扼,"['厂', '乙', '手']"
拴,"['人', '玉', '手']"
捼,"['女', '大', '手']"
捻,"['心', '人', '丶', '手']"
捏,"['日', '土', '手']"
擢,"['羽', '手', '隹']"
扫,"['手', '彐']"
摔,"['幺', '手', '十', '亠', '冫']"
搪,"['广', '聿', '手', '口']"
攫,"['目', '隹', '又', '手']"
拜,"['一', '丨', '手', '二']"
挷,"['二', '手', '丨', '阝', '一']"
掲,"['日', '勹', '匕', '手']"
攧,"['八', '手', '十', '目', '頁', '一']"
捄,"['丿', '丶', '水', '手', '一']"
扮,"['刀', '八', '手']"
擥,"['丿', '丶', '手', '臣', '一', '网']"
擜,"['八', '手', '干', '犬', '十', '冂']"
攏,"['龍', '手']"
撂,"['口', '田', '手', '夂']"
掦,"['日', '勹', '手']"
掛,"['土', '卜', '手']"
摲,"['車', '斤', '手']"
扞,"['干', '手']"
挲,"['丿', '水', '手', '小']"
捷,"['十', '聿', '手', '止']"
搒,"['八', '手', '冖', '亠', '方']"
撣,"['二', '手', '丨', '十', '口', '冂']"
扽,"['十', '屮', '乙', '手']"
托,"['一', '手', '乙']"
摝,"['鹿', '手']"
掳,"['虍', '手', '力']"
搧,"['户', '手', '羽']"
擫,"['月', '手', '厂', '犬', '日']"
才,"['一', '丿']"
摳,"['匚', '手', '口']"
攅,"['貝', '手', '二', '人']"
搳,"['二', '手', '丨', '宀', '一', '口']"
拄,"['丶', '玉', '手']"
捥,"['宀', '手', '乙', '夕']"
摧,"['隹', '山', '手']"
抝,"['幺', '手']"
捐,"['月', '手', '口']"
拎,"['人', '丶', '手']"
掆,"['八', '手', '山', '一', '冂']"
拵,"['丿', '子', '人', '手', '一']"
搬,"['舟', '殳', '手']"
攞,"['隹', '糸', '网', '手']"
撅,"['八', '手', '屮', '厂', '一', '欠']"
揉,"['矛', '木', '手']"
掴,"['囗', '玉', '手']"
挣,"['刀', '手', '亅', '彐']"
掌,"['冖', '小', '手', '口']"
拍,"['白', '手']"
擻,"['女', '手', '十', '口', '攴']"
押,"['二', '丨', '手', '冂']"
揝,"['日', '卜', '夂', '手']"
撥,"['殳', '癶', '手', '弓']"
撋,"['玉', '手', '門']"
拚,"['厶', '艸', '手']"
搂,"['女', '米', '手']"
揎,"['宀', '一', '手', '日']"
撱,"['丿', '手', '阝', '工', '月', '一']"
搯,"['臼', '手', '爪']"
振,"['辰', '手']"
擡,"['手', '士', '冖', '至', '口']"
攪,"['手', '爻', '見', '冖', '臼']"
掸,"['二', '八', '手', '丨', '十', '冂']"
捂,"['一', '口', '手', '力']"
撲,"['羊', '一', '八', '手']"
払,"['厶', '手']"
搲,"['穴', '瓜', '手']"
接,"['女', '立', '手']"
捅,"['用', '手']"
扡,"['丨', '手', '乙']"
掐,"['臼', '刀', '手']"
撊,"['月', '手', '門']"
揣,"['而', '山', '手']"
摹,"['日', '艸', '大', '手']"
拓,"['石', '手']"
捱,"['土', '厂', '手']"
摋,"['丿', '手', '十', '小', '殳']"
捧,"['二', '八', '手', '丨', '一']"
揞,"['音', '手']"
挺,"['廴', '手', '士']"
捿,"['女', '十', '聿', '手']"
拥,"['用', '手']"
抌,"['手', '乙', '巾']"
撟,"['冂', '大', '手', '口']"
撒,"['手', '月', '一', '艸', '攴']"
挦,"['寸', '彐', '手']"
抴,"['廾', '手']"
攝,"['手', '耳']"
撇,"['冫', '手', '攴', '巾']"
擬,"['疋', '匕', '手', '矢']"
拽,"['曰', '手']"
挪,"['二', '丨', '阝', '手']"
挥,"['冖', '车', '手']"
撕,"['八', '手', '斤', '一', '甘']"
捯,"['刀', '至', '手']"
搗,"['一', '丶', '山', '手']"
攮,"['二', '手', '丨', '冖', '十', '一', '口']"
搀,"['丶', '手', '乙', '刀', '丨', '口']"
撆,"['冫', '手', '攴', '巾']"
挞,"['大', '手', '辵']"
拯,"['一', '水', '乙', '手']"
搓,"['羊', '手', '工']"
摇,"['缶', '手', '爪']"
揥,"['八', '手', '巾', '冖', '亠']"
擉,"['勹', '网', '虫', '手']"
攩,"['手', '黑', '冖', '小', '口']"
揿,"['钅', '欠', '手']"
擠,"['齊', '手']"
掊,"['立', '口', '手']"
撝,"['丿', '火', '手', '爪']"
拇,"['毋', '手']"
捭,"['二', '丶', '手', '丨', '十', '冂']"
揖,"['耳', '手', '口']"
擾,"['心', '丿', '手', '夂', '冖', '月', '一']"
揑,"['臼', '手', '工']"
攥,"['手', '竹', '大', '糸', '目']"
揄,"['人', '手', '刀', '月', '一']"
扎,"['手', '乙']"
撩,"['八', '手', '大', '小', '日']"
拑,"['甘', '手']"
擿,"['八', '手', '冂', '十', '亠', '口', '辵']"
摈,"['斤', '八', '手', '宀', '一']"
揚,"['日', '一', '勹', '手']"
擇,"['土', '八', '手', '干', '网']"
摦,"['二', '大', '瓜', '手']"
撾,"['口', '手', '冂', '辵']"
搘,"['日', '手', '老']"
扵,"['人', '丶', '手']"
擒,"['人', '凵', '禸', '丿', '手', '亠']"
擲,"['八', '手', '大', '酉', '阝']"
挿,"['日', '十', '丨', '手']"
攟,"['禾', '鹿', '囗', '手']"
抪,"['一', '丿', '手', '巾']"
撦,"['日', '大', '手', '老']"
挛,"['八', '手', '丨', '亠', '亅']"
攄,"['虍', '田', '心', '手']"
找,"['戈', '手']"
搾,"['丿', '二', '手', '丨', '穴', '一']"
指,"['日', '匕', '手']"
搙,"['辰', '寸', '手']"
摶,"['手', '丨', '寸', '十', '日']"
摊,"['隹', '又', '手']"
撉,"['子', '手', '亠', '口', '攴']"
担,"['日', '一', '手']"
搦,"['弓', '手', '冫']"
攆,"['車', '人', '手', '二']"
拕,"['宀', '匕', '手']"
摒,"['八', '手', '廾', '尸', '一']"
揩,"['比', '白', '手']"
擺,"['月', '厶', '网', '手']"
挑,"['冫', '手', '儿']"
抒,"['手', '亅', '乙']"
揕,"['匚', '甘', '手', '儿']"
挵,"['玉', '廾', '手']"
擴,"['二', '凵', '八', '手', '广', '丨', '一', '艸']"
揍,"['二', '八', '手', '丨', '大', '一']"
护,"['户', '手']"
擂,"['田', '手', '雨']"
播,"['田', '手', '釆']"
捔,"['角', '手']"
摴,"['二', '手', '雨']"
揷,"['臼', '十', '手']"
挡,"['小', '手', '彐']"
摜,"['囗', '十', '貝', '手']"
按,"['宀', '手', '女']"
揆,"['一', '大', '癶', '手']"
挠,"['一', '手', '儿']"
抉,"['人', '丨', '手']"
攂,"['田', '手']"
揮,"['冖', '車', '手']"
摀,"['一', '丶', '火', '手']"
摸,"['日', '艸', '大', '手']"
擐,"['一', '网', '手', '口']"
掘,"['尸', '山', '手']"
搥,"['丶', '己', '手', '辵']"
擃,"['二', '凵', '辰', '手']"
捲,"['二', '八', '手', '丨', '乙']"
採,"['木', '手', '爪']"
授,"['冖', '又', '手', '爪']"
拏,"['女', '又', '手']"
捡,"['一', '人', '手', '小']"
掃,"['冖', '手', '彐', '巾']"
搎,"['子', '糸', '手']"
掉,"['日', '十', '卜', '手']"
捺,"['大', '手', '示']"
援,"['干', '又', '手', '爪']"
扭,"['二', '刀', '手']"
攙,"['丶', '手', '乙', '刀', '丨', '比', '口']"
搽,"['人', '手', '十', '小', '艸']"
括,"['手', '舌']"
掺,"['厶', '大', '彡', '手']"
撃,"['車', '手', '殳']"
挜,"['一', '八', '手']"
拱,"['一', '艸', '八', '手']"
撈,"['冖', '火', '手', '力']"
拖,"['丿', '手', '丨', '一', '乙']"
携,"['丿', '隹', '手']"
擞,"['女', '米', '攴', '手']"
挫,"['土', '手', '人']"
擄,"['虍', '田', '手', '力']"
拶,"['川', '手', '夕']"
挤,"['齐', '手']"
挨,"['厶', '手', '矢']"
揔,"['勹', '丶', '心', '手']"
抔,"['丿', '一', '卜', '手']"
捨,"['干', '人', '手', '口']"
投,"['手', '殳']"
捬,"['广', '人', '寸', '手']"
搷,"['八', '手', '十', '目', '一']"
掏,"['勹', '手', '缶']"
技,"['支', '手']"
揜,"['人', '手', '廾', '一', '口']"
抚,"['无', '手']"
挚,"['丿', '丶', '手']"
拔,"['丿', '丶', '又', '手', '一']"
抢,"['人', '手', '乙']"
掀,"['斤', '欠', '手']"
掂,"['广', '卜', '手', '口']"
撏,"['手', '寸', '彐', '工', '口']"
換,"['八', '手', '刀', '大', '冂']"
扳,"['又', '手', '⺁']"
捘,"['厶', '八', '手', '夂']"
搃,"['心', '八', '手', '口']"
摆,"['土', '网', '厶', '手']"
提,"['日', '一', '手', '止']"
掩,"['手', '丨', '大', '日', '乙']"
摩,"['麻', '手']"
揽,"['丿', '丶', '手', '丨', '见', '一']"
捉,"['足', '手']"
捃,"['丨', '手', '口', '彐']"
摺,"['羽', '白', '手']"
招,"['刀', '手', '口']"
抄,"['丿', '手', '小']"
拣,"['一', '八', '手', '乙']"
搴,"['二', '八', '手', '宀', '一']"
擧,"['八', '手', '丨', '臼', '一']"
掠,"['小', '亠', '手', '口']"
换,"['刀', '大', '手', '冂']"
批,"['比', '手']"
扱,"['丿', '手']"
掖,"['人', '丶', '手', '夂', '亠']"
掬,"['勹', '米', '手']"
扰,"['丶', '手', '尢']"
撷,"['页', '手', '口', '士']"
撺,"['穴', '手', '口', '丨']"
撿,"['一', '人', '手']"
揹,"['月', '匕', '手']"
搨,"['日', '羽', '手']"
撢,"['日', '十', '手', '襾']"
扨,"['刀', '手', '丶']"
扤,"['一', '手', '儿']"
择,"['二', '丨', '又', '手']"
掻,"['又', '虫', '手']"
挎,"['二', '大', '手']"
拾,"['一', '人', '手', '口']"
掗,"['二', '手']"
披,"['皮', '手']"
拳,"['二', '丨', '八', '手']"
擔,"['八', '手', '刀', '厂', '言']"
抡,"['人', '匕', '手']"
搅,"['冖', '见', '手', '小']"
掭,"['一', '丨', '大', '手']"
捶,"['十', '艸', '手', '士']"
扬,['手']
拘,"['勹', '手', '口']"
挐,"['女', '手', '口']"
據,"['虍', '豕', '手']"
挓,"['宀', '一', '手', '乙']"
承,"['一', '水', '二', '乙']"
搶,"['人', '丶', '手', '丨', '彐', '口']"
摰,"['丿', '土', '丶', '八', '手']"
捜,"['日', '丨', '手', '又']"
擓,"['匚', '隹', '水', '手']"
撞,"['里', '立', '手']"
捞,"['冖', '艸', '手', '力']"
抗,"['亠', '几', '手']"
擎,"['手', '口', '勹', '艸', '攴']"
損,"['貝', '手', '口']"
擊,"['車', '山', '手', '殳']"
攖,"['女', '貝', '手']"
抈,"['月', '手']"
揶,"['阝', '耳', '手']"
揠,"['日', '匚', '手', '女']"
掣,"['牛', '刀', '手', '巾']"
擭,"['艸', '隹', '又', '手']"
扠,"['丶', '又', '手']"
挽,"['手', '乙', '刀', '丨', '口']"
撵,"['人', '车', '手', '二']"
抛,"['丿', '手', '力']"
撚,"['月', '火', '手', '犬']"
揁,"['貝', '卜', '手']"
擘,"['尸', '辛', '口', '手']"
摎,"['人', '羽', '彡', '手']"
持,"['土', '寸', '手']"
损,"['贝', '手', '口']"
拧,"['宀', '一', '手', '亅']"
挶,"['尸', '手', '口']"
撑,"['冖', '小', '手', '口']"
搫,"['舟', '殳', '手']"
搉,"['隹', '手', '巾']"
摟,"['女', '十', '手', '口']"
擋,"['手', '冖', '田', '小', '口']"
捋,"['寸', '爪', '手']"
擱,"['夂', '口', '門', '手']"
掎,"['亅', '手', '大', '一', '口']"
搔,"['丶', '又', '虫', '手']"
抽,"['二', '丨', '手', '凵']"
撰,"['一', '艸', '八', '手']"
抰,"['大', '手', '冂']"
掱,['手']
摣,"['虍', '一', '月', '手']"
挝,"['寸', '辵', '手']"
擩,"['而', '手', '雨']"
抜,"['一', '丿', '又', '手']"
捗,"['丿', '止', '手', '小']"
抑,"['手', '卩']"
擰,"['心', '手', '皿', '宀', '一', '亅']"
捌,"['刀', '力', '手', '口']"
挾,"['人', '大', '手']"
摛,"['丿', '凵', '禸', '手', '亠']"
攬,"['丿', '丶', '手', '見', '臣', '一', '网']"
捓,"['阝', '牙', '手']"
擪,"['月', '手', '厂', '犬', '日']"
挢,"['大', '手']"
揫,"['禾', '火', '手']"
択,"['尸', '手']"
攘,"['二', '手', '衣', '一', '口']"
拋,"['力', '手', '尢']"
擤,"['手', '鼻']"
拆,"['斤', '丶', '手']"
捕,"['十', '丶', '用', '手']"
拈,"['卜', '手', '口']"
摡,"['丶', '手', '无', '丨', '彐', '乙']"
抓,"['手', '爪']"
拌,"['二', '丨', '八', '手']"
撮,"['又', '曰', '手', '耳']"
掫,"['又', '手', '耳']"
报,"['又', '手', '卩']"
搋,"['虍', '几', '手', '⺁']"
撐,"['手', '冖', '口', '小', '牙']"
挌,"['口', '手', '夂']"
擵,"['麻', '手']"
撤,"['手', '厶', '亠', '月', '攴']"
挟,"['人', '八', '手', '二']"
扶,"['人', '手', '二']"
抨,"['干', '八', '手']"
摭,"['广', '火', '廾', '手']"
撬,"['毛', '手']"
攃,"['手', '示', '卩', '月', '艸']"
搁,"['门', '口', '手', '夂']"
搢,"['日', '一', '八', '手']"
拦,"['一', '八', '手', '二']"
扪,"['门', '手']"
捩,"['户', '手', '犬']"
控,"['穴', '手', '工']"
拒,"['匚', '手']"
扺,"['氏', '手']"
撳,"['欠', '金', '手']"
抶,"['人', '手', '二']"
捆,"['囗', '木', '手']"
摽,"['襾', '手', '示']"
搭,"['人', '手', '一', '艸', '口']"
摑,"['手', '囗', '戈', '一', '口']"
掽,"['一', '八', '手']"
掇,"['又', '手']"
挈,"['二', '手', '刀', '丨', '一']"
扦,"['十', '手']"
拐,"['力', '手', '口']"
擁,"['丿', '亠', '手', '隹']"
搠,"['八', '手', '屮', '月', '一']"
捣,"['丶', '山', '手']"
挹,"['邑', '手']"
搞,"['高', '手']"
拟,"['人', '丶', '手', '乙']"
拙,"['山', '手']"
抆,"['文', '手']"
捽,"['十', '亠', '手', '人']"
扔,"['丿', '手']"
扣,"['手', '口']"
攣,"['糸', '手', '言']"
抟,"['二', '丨', '手']"
撫,"['火', '手']"
攀,"['木', '爻', '大', '手']"
探,"['网', '木', '手']"
攤,"['二', '人', '手', '隹', '丨', '廾', '口']"
描,"['艸', '田', '手']"
打,"['一', '手', '亅']"
扩,"['广', '手']"
抅,"['勹', '厶', '手']"
拿,"['一', '人', '手', '口']"
掄,"['人', '手', '一', '艸', '冂']"
擙,"['宀', '大', '手', '釆']"
搜,"['臼', '丨', '手', '又']"
揳,"['二', '手', '刀', '丨', '大', '一']"
操,"['木', '手', '口']"
摞,"['田', '糸', '手']"
撽,"['攴', '白', '手', '方']"
摘,"['子', '八', '手', '亠', '欠']"
拭,"['弋', '手', '工']"
扐,"['手', '力']"
挱,"['丿', '水', '手', '小']"
拃,"['丿', '二', '手', '丨', '一']"
执,"['丿', '丶', '手']"
搆,"['二', '土', '手', '一', '冂']"
拢,"['龙', '手']"
撹,"['冖', '見', '小', '手']"
措,"['日', '一', '艸', '手']"
揌,"['心', '田', '手']"
掯,"['月', '止', '手']"
攜,"['八', '手', '隹', '口', '山', '冂']"
搐,"['玄', '田', '手']"
扻,"['欠', '手']"
抿,"['一', '己', '手']"
抬,"['厶', '手', '口']"
揾,"['日', '皿', '手']"
拮,"['手', '口', '士']"
抻,"['日', '丨', '手']"
攒,"['贝', '手', '牛', '儿']"
抍,"['艸', '手']"
摅,"['虍', '心', '手']"
撴,"['子', '手', '亠', '口', '攴']"
撄,"['女', '手']"
推,"['隹', '手']"
摐,"['人', '彳', '手', '止']"
捍,"['日', '干', '手']"
掮,"['月', '户', '手']"
鈃,"['一', '金', '廾']"
铖,"['丿', '一', '戈', '钅']"
钟,"['丨', '钅', '口']"
锣,"['网', '钅', '夕']"
鎰,"['一', '金', '八', '皿']"
錢,"['戈', '金']"
錕,"['日', '金', '比']"
鍐,"['丿', '凵', '金', '八', '夂']"
镳,"['鹿', '火', '钅']"
锯,"['十', '钅', '尸', '口']"
铅,"['几', '钅', '口']"
鉛,"['几', '金', '口']"
镶,"['二', '衣', '钅', '一', '口']"
锤,"['十', '钅', '艸', '士']"
鉤,"['勹', '金', '口']"
鎊,"['金', '八', '冖', '亠', '方']"
锡,"['日', '钅', '勹']"
鉌,"['禾', '金']"
鐸,"['土', '金', '八', '干', '网']"
铒,"['钅', '耳']"
鍥,"['二', '金', '刀', '丨', '大', '一']"
鈳,"['一', '口', '金', '亅']"
銚,"['冫', '金', '儿']"
鑼,"['隹', '金', '糸', '网']"
镠,"['人', '羽', '钅', '彡']"
铡,"['刀', '钅', '贝']"
錆,"['金', '青']"
镥,"['鱼', '钅', '日']"
鉚,"['金', '卩']"
銍,"['金', '至']"
鈧,"['亠', '金', '几']"
鈍,"['十', '金', '屮', '乙']"
釵,"['丶', '又', '金']"
镓,"['宀', '钅', '豕']"
锠,"['日', '钅']"
鏚,"['金', '卜', '厂', '戈', '小', '一']"
鋺,"['宀', '金', '乙', '夕']"
鎒,"['金', '寸', '辰']"
锞,"['钅', '田', '木']"
铤,"['钅', '廴', '士']"
鉭,"['日', '一', '金']"
銒,"['干', '金', '亅']"
銱,"['金', '口', '巾']"
鍬,"['禾', '火', '金']"
欽,"['欠', '金']"
鉿,"['一', '人', '金', '口']"
錟,"['火', '金']"
鉱,"['广', '金', '厶']"
鎧,"['豆', '金', '山']"
钕,"['女', '钅']"
铞,"['钅', '口', '巾']"
鏛,"['金', '巾', '冖', '小', '口']"
鐲,"['勹', '虫', '网', '金']"
鋮,"['丿', '一', '戈', '金']"
銣,"['女', '金', '口']"
鏽,"['一', '聿', '金']"
钦,"['钅', '欠']"
錯,"['日', '一', '金', '艸']"
锆,"['牛', '钅', '口']"
鐒,"['冖', '火', '金', '力']"
镛,"['广', '聿', '钅', '用']"
鏇,"['丿', '金', '疋', '方', '一']"
铷,"['女', '钅', '口']"
鎌,"['一', '金', '八', '彐']"
锖,"['钅', '青']"
銮,"['金', '八', '丨', '亠', '亅']"
鎲,"['金', '冖', '小', '儿', '口']"
铃,"['人', '丶', '钅']"
鋨,"['戈', '金', '手']"
锁,"['钅', '贝', '小']"
镞,"['丿', '钅', '方', '矢', '一']"
鎍,"['冖', '十', '金', '糸']"
鉴,"['丿', '丶', '金', '丨', '一']"
鉬,"['目', '金']"
鎢,"['一', '丶', '金', '火']"
铰,"['丿', '亠', '钅', '八']"
鋑,"['厶', '金', '八', '夂']"
锛,"['十', '钅', '大', '艸']"
钴,"['十', '钅', '口']"
鈣,"['一', '金', '卜']"
镖,"['襾', '钅', '示']"
鐀,"['金', '丨', '貝', '一', '口']"
鑣,"['鹿', '火', '金']"
鈈,"['丿', '一', '金', '卜']"
铙,"['一', '钅', '儿']"
锄,"['月', '一', '钅', '力']"
镲,"['月', '示', '钅', '卩', '宀']"
鿏,[]
鏴,"['口', '金', '夂', '⻊']"
銼,"['土', '金', '人']"
鎛,"['丶', '金', '寸', '用', '十']"
镵,"['丶', '乙', '刀', '丨', '钅', '比', '口']"
鏾,"['金', '月', '一', '艸', '攴']"
銷,"['月', '金', '小']"
镟,"['丿', '疋', '钅', '方', '一']"
鑞,"['丿', '金', '囗', '川', '冫']"
鐥,"['金', '八', '羊', '一', '口']"
鐨,"['貝', '金', '弓']"
銜,"['金', '行']"
钓,"['勹', '丶', '钅']"
鑐,"['而', '金', '雨']"
锾,"['又', '干', '钅', '爪']"
钫,"['钅', '方']"
鐘,"['里', '金', '立']"
鑴,"['金', '八', '隹', '口', '山', '冂']"
锺,"['十', '里', '钅']"
鉆,"['金', '卜', '口']"
铳,"['厶', '亠', '钅', '儿']"
铴,"['钅', '水']"
銳,"['金', '八', '口', '儿']"
铚,"['钅', '至']"
锬,"['火', '钅']"
鎝,"['人', '金', '一', '艸', '口']"
釾,"['金', '牙']"
鈬,"['尸', '金']"
鈷,"['十', '金', '口']"
錔,"['日', '金', '水']"
鎬,"['金', '高']"
鋅,"['金', '辛']"
鉑,"['白', '金']"
铼,"['一', '钅', '木', '八']"
鑌,"['丿', '金', '貝', '小', '宀', '一']"
铽,"['心', '弋', '钅']"
镐,"['钅', '高']"
鈿,"['金', '田']"
钁,"['目', '隹', '又', '金']"
铠,"['钅', '山', '己']"
铺,"['十', '丶', '钅', '用']"
铌,"['匕', '钅', '尸']"
鑕,"['斤', '貝', '金']"
钡,"['钅', '贝']"
鋜,"['金', '足']"
銘,"['金', '口', '夕']"
镴,"['丿', '囗', '川', '钅', '冫']"
钳,"['甘', '钅']"
钠,"['人', '钅', '冂']"
锂,"['里', '钅']"
锷,"['二', '钅', '口']"
鋬,"['又', '金', '手', '⺁']"
錩,"['日', '金']"
鉋,"['勹', '金', '己']"
锨,"['斤', '钅', '欠']"
鏥,"['人', '金', '宀', '一', '白']"
鏈,"['車', '金', '辵']"
釧,"['川', '金']"
鈚,"['比', '金']"
鑾,"['糸', '金', '言']"
镎,"['人', '手', '钅', '一', '口']"
镉,"['钅', '鬲']"
锉,"['土', '钅', '人']"
鍰,"['又', '金', '爪', '干', '亅']"
铔,"['一', '钅', '八']"
鍁,"['斤', '欠', '金']"
锩,"['二', '八', '丨', '钅', '乙']"
鏡,"['金', '音', '儿']"
錏,"['二', '金']"
鏟,"['生', '金', '立', '厂']"
镂,"['女', '钅', '米']"
