char,decomposition
莜,"['人', '丨', '艸', '攴']"
芽,"['艸', '牙']"
苣,"['匚', '艸']"
菰,"['子', '艸', '瓜']"
蓋,"['土', '艸', '皿', '厶']"
蔚,"['艸', '尸', '寸', '示']"
菽,"['又', '卜', '小', '一', '艸']"
芷,"['止', '艸']"
蕙,"['心', '丨', '十', '日', '艸']"
苐,"['丨', '弓', '艸']"
茆,"['艸', '卩']"
菠,"['皮', '水', '艸']"
蔘,"['厶', '人', '艸', '彡']"
菟,"['丶', '乙', '刀', '丨', '艸', '口']"
芨,"['丿', '艸']"
葜,"['二', '刀', '丨', '大', '一', '艸']"
蔉,"['亠', '八', '艸', '口']"
苕,"['刀', '艸', '口']"
葑,"['土', '艸', '寸']"
蘐,"['又', '爪', '干', '言', '艸', '亅']"
茧,"['虫', '艸']"
莠,"['禾', '丿', '艸']"
蓖,"['丿', '囗', '丶', '艸']"
蓝,"['丿', '丶', '丨', '皿', '一', '艸']"
蓨,"['人', '夂', '丨', '月', '艸']"
蒱,"['丶', '手', '用', '十', '艸']"
莝,"['土', '艸', '人']"
苙,"['艸', '立']"
薆,"['心', '夂', '爪', '冖', '艸']"
莰,"['土', '欠', '艸']"
苞,"['勹', '己', '艸']"
葚,"['匚', '甘', '艸', '儿']"
苾,"['心', '丿', '艸']"
萌,"['日', '月', '艸']"
薁,"['宀', '艸', '大', '米']"
薐,"['土', '八', '夂', '禾', '艸']"
苊,"['艸', '厂', '乙']"
茩,"['一', '口', '艸', '⺁']"
荸,"['冖', '十', '艸', '子']"
蕞,"['又', '曰', '艸', '耳']"
菑,"['川', '田', '艸']"
蕲,"['二', '八', '丨', '十', '斤', '艸', '冂']"
薫,"['十', '里', '火', '艸']"
芎,"['弓', '艸']"
莫,"['日', '大', '艸']"
藻,"['水', '木', '艸', '口']"
芯,"['心', '艸']"
葖,"['穴', '艸', '犬']"
茭,"['丿', '亠', '八', '艸']"
藹,"['人', '言', '勹', '曰', '艸']"
芶,"['勹', '厶', '艸']"
荳,"['豆', '艸']"
萧,"['聿', '艸', '小']"
菸,"['人', '丶', '艸', '方']"
萇,"['艸', '長']"
蘩,"['丿', '糸', '毋', '一', '艸', '攴']"
菊,"['勹', '艸', '米']"
芪,"['氏', '艸']"
菔,"['月', '又', '艸', '卩']"
苋,"['见', '艸']"
蕎,"['冂', '大', '艸', '口']"
蘀,"['土', '八', '手', '干', '网', '艸']"
芳,"['艸', '方']"
荝,"['刀', '贝', '艸']"
蔼,"['人', '讠', '勹', '曰', '艸']"
萤,"['冖', '虫', '艸']"
荊,"['一', '刀', '廾', '艸']"
荥,"['冖', '艸', '水']"
菐,"['羊', '一', '八']"
蔌,"['欠', '木', '艸', '口']"
蘧,"['虍', '豕', '艸', '辵']"
藙,"['勹', '艸', '立', '殳']"
蒗,"['艮', '丶', '水', '艸']"
蕘,"['土', '一', '艸', '儿']"
苓,"['人', '丶', '艸']"
薽,"['瓦', '土', '艸', '襾']"
蕭,"['一', '聿', '艸']"
薗,"['土', '囗', '艸', '口']"
蕢,"['丨', '貝', '一', '艸', '口']"
芫,"['二', '艸', '儿']"
芊,"['十', '艸']"
荽,"['女', '艸', '爪']"
蘿,"['隹', '糸', '网', '艸']"
茶,"['人', '艸', '十', '小']"
蓼,"['人', '羽', '艸', '彡']"
莢,"['人', '大', '艸']"
荒,"['丶', '丨', '匸', '儿', '艸']"
蔺,"['土', '尸', '辛', '雨', '艸', '口']"
茀,"['弓', '艸']"
草,"['日', '十', '艸']"
苳,"['丶', '艸', '夂']"
蔲,"['二', '儿', '宀', '艸', '攴']"
萚,"['二', '又', '手', '丨', '艸']"
葯,"['勹', '丶', '糸', '艸']"
蓦,"['日', '马', '大', '艸']"
蕤,"['艸', '豕', '生']"
蕿,"['火', '又', '爪', '干', '艸', '亅']"
茲,"['幺', '艸']"
鿒,[]
蓣,"['乙', '艸', '亅', '页']"
薰,"['土', '火', '八', '丨', '十', '艸', '口']"
蘺,"['凵', '禸', '丿', '隹', '亠', '艸']"
茳,"['水', '艸', '工']"
蕴,"['日', '艸', '皿', '纟']"
藜,"['人', '水', '勹', '禾', '艸']"
蒯,"['月', '刀', '艸']"
蒨,"['人', '青', '艸']"
蔦,"['鳥', '艸']"
薅,"['女', '艸', '辰', '寸']"
苈,"['艸', '厂', '力']"
藥,"['幺', '艸', '白', '木']"
藩,"['水', '田', '艸', '釆']"
茕,"['冖', '十', '艸', '乙']"
茜,"['襾', '艸']"
芼,"['毛', '艸']"
菂,"['勹', '丶', '白', '艸']"
薦,"['广', '火', '艸', '襾']"
蓴,"['丨', '寸', '十', '日', '艸']"
蓽,"['二', '丨', '田', '一', '艸']"
芚,"['十', '艸', '屮', '乙']"
蘯,"['水', '勹', '皿', '日', '一', '艸']"
蘄,"['二', '丨', '十', '口', '斤', '艸', '冂']"
葆,"['人', '木', '艸', '口']"
菅,"['宀', '己', '艸']"
蒉,"['丨', '贝', '一', '艸', '口']"
藾,"['刀', '木', '貝', '艸', '口']"
莖,"['一', '川', '艸', '工']"
蓑,"['一', '囗', '衣', '艸']"
藪,"['女', '十', '口', '艸', '攴']"
莼,"['纟', '屮', '十', '艸', '乙']"
葱,"['勹', '丶', '艸', '心']"
获,"['艸', '犬']"
苺,"['毋', '艸']"
蕊,"['心', '艸']"
葵,"['一', '大', '癶', '艸']"
葤,"['艸', '糸', '寸']"
茍,"['勹', '卜', '口']"
虋,"['八', '刀', '酉', '冖', '冂', '臼', '一', '艸', '口']"
萊,"['人', '木', '艸']"
芻,"['勹', '艸']"
蒖,"['八', '十', '目', '一', '艸']"
韮,"['艸', '韭']"
蓄,"['玄', '田', '艸']"
蘷,"['止', '八', '卜', '夂', '一', '自', '己']"
蘨,"['缶', '糸', '艸', '爪']"
蓚,"['人', '夂', '彡', '丨', '艸']"
藕,"['二', '耒', '禸', '丨', '艸', '冂']"
葙,"['目', '木', '艸']"
菫,"['丨', '一', '玉', '艸', '口']"
莅,"['人', '艸', '立']"
萍,"['干', '水', '八', '艸']"
莿,"['刀', '木', '艸', '冂']"
蓮,"['車', '艸', '辵']"
芭,"['丨', '艸', '乙']"
芘,"['比', '艸']"
薸,"['襾', '水', '艸', '示']"
菀,"['宀', '艸', '乙', '夕']"
蘆,"['虍', '田', '艸', '皿']"
藟,"['田', '艸']"
茉,"['一', '木', '艸']"
苯,"['一', '木', '艸']"
荇,"['艸', '行']"
莧,"['艸', '見']"
蓰,"['止', '彳', '艸']"
芧,"['艸', '亅', '乙']"
萼,"['二', '艸', '口']"
莦,"['月', '艸', '小']"
蓫,"['豕', '艸', '辵']"
苜,"['目', '艸']"
茝,"['匚', '艸', '口']"
蕝,"['色', '糸', '艸']"
萋,"['女', '十', '聿', '艸']"
萃,"['十', '亠', '艸', '人']"
蔽,"['冫', '艸', '攴', '巾']"
苑,"['艸', '乙', '夕']"
蒓,"['糸', '屮', '十', '艸', '乙']"
蓠,"['丿', '凵', '禸', '亠', '艸']"
莸,"['丶', '艸', '尢', '犬']"
茹,"['女', '艸', '口']"
菆,"['又', '艸', '耳']"
荣,"['冖', '木', '艸']"
菴,"['丨', '大', '日', '艸', '乙']"
莴,"['冂', '人', '艸', '口']"
萠,"['月', '艸']"
葊,"['人', '廾', '一', '艸', '口']"
茎,"['艸', '工']"
荐,"['丿', '子', '人', '一', '艸']"
芗,"['丿', '艸']"
菥,"['斤', '木', '艸']"
莪,"['艸', '戈', '手']"
花,"['人', '匕', '艸']"
芤,"['子', '艸', '乙']"
藎,"['火', '聿', '皿', '艸']"
苏,"['八', '艸', '力']"
藉,"['一', '耒', '艸', '日']"
荁,"['日', '一', '艸']"
蒡,"['八', '冖', '亠', '方', '艸']"
萜,"['卜', '艸', '口', '巾']"
芜,"['艸', '无']"
荤,"['冖', '车', '艸']"
萲,"['又', '爪', '干', '艸', '亅']"
蒺,"['艸', '疒', '矢']"
荡,"['水', '艸']"
蔬,"['厶', '丨', '亠', '疋', '儿', '艸']"
鿓,[]
荼,"['干', '人', '艸', '小']"
莚,"['止', '廴', '艸']"
蘊,"['人', '糸', '囗', '皿', '艸']"
节,"['丨', '艸']"
莞,"['宀', '二', '艸', '儿']"
苅,"['丿', '刀', '艸']"
薬,"['艸', '白', '木', '冫']"
薖,"['口', '艸', '冂', '辵']"
蔡,"['月', '艸', '示', '卩']"
茱,"['一', '木', '艸']"
葓,"['一', '水', '八', '艸']"
蘗,"['木', '尸', '辛', '艸', '口']"
蔷,"['土', '囗', '八', '艸']"
莹,"['冖', '玉', '艸']"
菪,"['宀', '艸', '石']"
蔔,"['田', '勹', '一', '艸', '口']"
芝,"['丶', '戈', '玉', '艸']"
蕡,"['十', '艸', '貝']"
蘼,"['艸', '麻', '非']"
茦,"['木', '艸', '冂']"
芩,"['人', '丶', '艸']"
芬,"['刀', '八', '艸']"
蒎,"['匚', '水', '艸', '⺁']"
葠,"['人', '又', '彐', '冖', '艸']"
芄,"['丿', '丶', '艸']"
菖,"['日', '艸']"
茚,"['一', '艸', '卩']"
蕓,"['二', '艸', '厶', '雨']"
艽,"['丿', '艸']"
蘑,"['艸', '石', '麻']"
藘,"['虍', '艸', '田', '心']"
蒂,"['八', '巾', '冖', '亠', '艸']"
葍,"['一', '田', '艸', '口']"
茘,"['刀', '艸']"
莺,"['冖', '鸟', '艸']"
苎,"['宀', '一', '艸']"
茨,"['欠', '艸', '冫']"
薵,"['士', '乙', '寸', '工', '一', '艸', '口']"
蔓,"['日', '网', '又', '艸']"
薾,"['八', '巾', '丨', '爻', '一', '艸']"
苹,"['干', '八', '艸']"
蔕,"['巾', '廾', '冖', '儿', '艸']"
茔,"['冖', '土', '艸']"
荔,"['艸', '力']"
茓,"['穴', '艸']"
营,"['冖', '艸', '口']"
蒿,"['艸', '高']"
茈,"['止', '匕', '艸']"
萑,"['隹', '艸']"
莱,"['一', '八', '木', '艸']"
芸,"['二', '艸', '厶']"
蘤,"['丿', '火', '爪', '白', '艸']"
茌,"['人', '艸', '士']"
菶,"['二', '八', '丨', '一', '艸']"
范,"['水', '艸', '乙']"
茁,"['山', '艸']"
苪,"['一', '艸', '人', '冂']"
茞,"['艸', '臣']"
葄,"['丿', '二', '丨', '月', '一', '艸']"
藊,"['禾', '户', '艸', '冂']"
蔾,"['禾', '勹', '木', '艸']"
菢,"['勹', '己', '艸', '手']"
藴,"['日', '糸', '皿', '艸']"
蓁,"['二', '八', '丨', '禾', '一', '艸']"
莘,"['艸', '辛']"
蕁,"['寸', '彐', '工', '艸', '口']"
芟,"['艸', '殳']"
藍,"['丿', '丶', '臣', '皿', '一', '艸']"
菇,"['女', '十', '艸', '口']"
蔵,"['艸', '戈', '厂', '臣']"
藐,"['艸', '白', '豸', '儿']"
蓇,"['骨', '艸']"
茗,"['艸', '口', '夕']"
茺,"['厶', '亠', '艸', '儿']"
蘥,"['龠', '艸']"
蕃,"['田', '艸', '釆']"
薟,"['一', '人', '艸']"
茖,"['口', '艸', '夂']"
若,"['一', '丿', '艸', '口']"
荬,"['丶', '大', '艸', '乙']"
莽,"['艸', '犬']"
葡,"['丶', '用', '十', '勹', '艸']"
薮,"['女', '艸', '米', '攴']"
蔑,"['丶', '厂', '戈', '网', '艸']"
苍,"['人', '艸', '乙']"
苧,"['宀', '一', '艸', '亅']"
蔗,"['广', '火', '廾', '艸']"
苢,"['己', '艸']"
茢,"['艸', '歹', '刀']"
莓,"['一', '丿', '毋', '艸']"
莵,"['丿', '丶', '乙', '丨', '艸', '口']"
葬,"['艸', '匕', '歹']"
蘴,"['山', '艸', '豆']"
苴,"['月', '一', '艸']"
蘢,"['龍', '艸']"
葒,"['糸', '艸', '工']"
英,"['大', '艸', '冂']"
荨,"['艸', '寸', '彐']"
落,"['口', '水', '艸', '夂']"
蘇,"['禾', '艸', '魚']"
葛,"['勹', '人', '曰', '艸']"
茇,"['丿', '丶', '又', '一', '艸']"
蓆,"['广', '廾', '艸', '巾']"
蕚,"['二', '艸', '口']"
薴,"['心', '皿', '宀', '一', '艸', '亅']"
蓯,"['人', '彳', '艸', '止']"
蒔,"['日', '土', '艸', '寸']"
艿,"['丿', '艸']"
蔆,"['土', '八', '水', '夂', '艸']"
荀,"['勹', '艸', '日']"
藶,"['禾', '止', '艸', '厂']"
葩,"['丨', '白', '艸', '乙']"
蕻,"['長', '一', '八', '艸']"
荘,"['爿', '艸', '士']"
苒,"['土', '艸', '冂']"
荙,"['大', '艸', '辵']"
萩,"['禾', '火', '艸']"
荞,"['大', '艸']"
薪,"['十', '立', '小', '斤', '艸']"
芲,"['人', '匕', '艸']"
華,"['一', '丨', '艸', '二']"
蕆,"['貝', '艸', '戈', '厂']"
茛,"['艮', '艸']"
苤,"['丿', '一', '艸', '卜']"
萴,"['貝', '刀', '艸']"
药,"['勹', '丶', '艸', '纟']"
薇,"['彳', '山', '一', '几', '艸', '攴']"
莕,"['木', '艸', '口']"
蕕,"['艸', '八', '酉', '犬']"
荻,"['火', '艸', '犬']"
苌,"['长', '艸']"
苶,"['人', '艸', '小']"
薧,"['歹', '匕', '冖', '亠', '艸', '口']"
薩,"['生', '厂', '艸', '阝', '立']"
萁,"['一', '甘', '八', '艸']"
葺,"['耳', '艸', '口']"
菝,"['丿', '丶', '又', '手', '一', '艸']"
菓,"['艸', '田', '木']"
蔻,"['二', '儿', '宀', '艸', '攴']"
藿,"['隹', '艸', '雨']"
藠,"['白', '艸']"
莀,"['辰', '艸']"
荩,"['丶', '尸', '艸']"
萅,"['屮', '十', '日', '艸', '乙']"
荛,"['一', '艸', '儿']"
虀,"['八', '丨', '亠', '韭', '艸']"
蔹,"['人', '小', '一', '艸', '攴']"
荅,"['一', '人', '艸', '口']"
茂,"['艸', '戈', '厂']"
蕐,"['二', '人', '丨', '一', '艸']"
蘘,"['二', '衣', '一', '艸', '口']"
董,"['十', '里', '艸']"
芣,"['丿', '一', '艸', '卜']"
葸,"['心', '田', '艸']"
苽,"['艸', '瓜']"
蘽,"['木', '艸', '田']"
薢,"['牛', '角', '刀', '艸']"
藝,"['丿', '土', '丶', '八', '二', '厶', '艸']"
蕩,"['水', '勹', '日', '一', '艸']"
萐,"['十', '聿', '艸', '止']"
芡,"['欠', '艸']"
蓟,"['鱼', '刀', '艸']"
蕖,"['匚', '水', '木', '艸']"
萹,"['户', '艸', '冂']"
萸,"['臼', '人', '艸']"
蓂,"['八', '冖', '亠', '日', '艸']"
苇,"['韦', '艸']"
蓍,"['日', '艸', '老']"
蓀,"['子', '糸', '艸']"
荠,"['齐', '艸']"
蔥,"['心', '丶', '夂', '囗', '艸']"
菼,"['火', '艸']"
芦,"['户', '艸']"
薔,"['土', '囗', '艸', '人']"
苉,"['匚', '艸', '儿']"
萎,"['禾', '艸', '女']"
荮,"['艸', '寸', '纟']"
蘡,"['女', '貝', '艸']"
芏,"['土', '艸']"
茬,"['丿', '土', '人', '一', '艸']"
莲,"['车', '艸', '辵']"
菜,"['木', '艸', '爪']"
萵,"['口', '艸', '冂']"
蒦,"['隹', '又', '艸']"
蓓,"['人', '艸', '立', '口']"
葽,"['女', '襾', '艸']"
蔧,"['艸', '彐']"
萘,"['大', '艸', '示']"
蒼,"['人', '丶', '丨', '彐', '艸', '口']"
艾,"['丿', '艸']"
蓉,"['宀', '艸', '谷']"
蓊,"['厶', '羽', '八', '艸']"
藭,"['身', '穴', '艸', '弓']"
蒈,"['比', '白', '艸']"
菁,"['青', '艸']"
芋,"['干', '艸', '亅']"
芥,"['人', '艸']"
蘚,"['羊', '艸', '魚']"
荑,"['大', '艸', '弓']"
葦,"['艸', '韋']"
蓧,"['人', '夂', '丨', '十', '小', '艸']"
苷,"['甘', '艸']"
荜,"['比', '十', '艸']"
蕰,"['日', '水', '皿', '艸']"
蕷,"['頁', '艸', '亅', '乙']"
蓿,"['人', '宀', '一', '白', '艸']"
蕂,"['二', '八', '丨', '月', '艸', '力']"
葢,"['丶', '大', '艸', '皿']"
芀,"['刀', '艸']"
葎,"['聿', '彳', '艸']"
荭,"['艸', '纟', '工']"
蘅,"['刀', '大', '田', '艸', '行']"
菉,"['水', '艸', '彐']"
藨,"['鹿', '火', '艸']"
薨,"['歹', '匕', '冖', '网', '艸']"
萬,"['二', '禸', '丨', '艸', '冂']"
菌,"['禾', '囗', '艸']"
莩,"['子', '艸', '爪']"
葫,"['月', '十', '艸', '口']"
藷,"['日', '艸', '老', '言']"
葈,"['厶', '木', '艸', '口']"
蘂,"['心', '木', '艸']"
蕈,"['日', '十', '艸', '襾']"
藤,"['二', '八', '水', '丨', '月', '艸']"
蓪,"['艸', '用', '辵']"
蔀,"['艸', '立', '口', '阝']"
芮,"['人', '艸', '冂']"
茵,"['囗', '大', '艸']"
藄,"['八', '糸', '一', '甘', '艸']"
莆,"['十', '丶', '艸', '用']"
蘖,"['丶', '木', '辛', '己', '艸']"
蒌,"['女', '艸', '米']"
芈,"['二', '丨', '卜']"
萆,"['二', '丶', '丨', '十', '艸', '冂']"
蒭,"['勹', '艸']"
苗,"['田', '艸']"
蔴,"['艸', '麻']"
注,"['丶', '玉', '水']"
泒,"['水', '瓜']"
漵,"['人', '水', '干', '小', '攴']"
汀,"['一', '水', '亅']"
滇,"['八', '水', '十', '目', '一']"
滊,"['气', '水', '米']"
游,"['丿', '子', '水', '方', '一']"
潺,"['子', '尸', '水']"
潕,"['火', '水']"
濱,"['丿', '水', '貝', '小', '宀', '一']"
潭,"['日', '十', '水', '襾']"
渗,"['厶', '水', '大', '彡']"
瀍,"['土', '八', '水', '广', '里']"
湑,"['月', '疋', '水']"
水,['水']
汪,"['玉', '水']"
汤,['水']
澉,"['攴', '水', '耳']"
泣,"['水', '立']"
湢,"['一', '田', '水', '口']"
澎,"['十', '水', '豆', '彡']"
洚,"['十', '丨', '水', '夂']"
沟,"['勹', '厶', '水']"
潜,"['日', '人', '水', '二']"
浞,"['水', '足']"
渋,"['止', '水', '冫']"
潼,"['里', '水', '立']"
氹,"['水', '乙']"
永,['丶']
湔,"['八', '水', '刀', '月', '一']"
涎,"['止', '廴', '水']"
潗,"['隹', '木', '水']"
洹,"['日', '一', '水']"
漘,"['月', '辰', '水']"
漓,"['丿', '凵', '禸', '水', '亠']"
淀,"['宀', '一', '水', '止']"
瀽,"['二', '八', '足', '水', '宀', '一']"
濺,"['貝', '戈', '水']"
湊,"['二', '八', '水', '丨', '大', '一']"
洶,"['勹', '凵', '水', '丿']"
潎,"['冫', '水', '攴', '巾']"
泽,"['二', '丨', '又', '水']"
漫,"['日', '网', '又', '水']"
洼,"['土', '水']"
汞,"['水', '工']"
浑,"['冖', '车', '水']"
灘,"['二', '人', '水', '隹', '丨', '廾', '口']"
浅,"['一', '戈', '水']"
潤,"['玉', '水', '門']"
濈,"['耳', '戈', '水', '口']"
涔,"['人', '丶', '山', '水']"
洩,"['曰', '水']"
涼,"['小', '亠', '水', '口']"
浙,"['斤', '水', '手']"
沃,"['大', '水']"
淒,"['女', '十', '聿', '水']"
瀠,"['冖', '火', '糸', '水']"
涊,"['心', '刀', '水', '丶']"
汰,"['丶', '大', '水']"
渺,"['丿', '目', '水', '小']"
淨,"['彐', '水', '亅', '爪']"
沒,"['丿', '又', '水']"
溁,"['冖', '艸', '木', '水']"
滚,"['厶', '衣', '八', '水']"
沢,"['尸', '水']"
浈,"['卜', '贝', '水']"
滿,"['入', '廾', '水', '巾']"
