char,category
宰,Both
寒,Both
室,Both
寁,Both
寄,Both
寎,Both
牢,Both
寅,Both
富,Both
粂,Unknown
粋,Unknown
粆,Both
糵,Unknown
粇,Unknown
畨,Unknown
粎,Both
糭,Unknown
粺,Both
糏,Both
粬,Unknown
粛,Unknown
郈,Unknown
郴,Both
郔,Unknown
鄗,Both
郙,Both
郚,Both
邵,Both
郇,Both
邱,Both
郅,Both
鄜,Both
郫,Both
鄢,Both
鄂,Both
鄿,Unknown
鄣,Both
鄍,Both
郃,Both
郭,Both
邲,Both
郠,Unknown
邰,Both
郝,Both
都,Both
鄱,Both
邾,Both
郜,Both
鄌,Unknown
邯,Both
鄻,Unknown
邘,Both
邡,Both
邢,Both
鄎,Unknown
郛,Both
鄐,Unknown
鄇,Unknown
郌,Unknown
鄫,Both
郕,Unknown
鄤,Unknown
郉,Unknown
郡,Both
邧,Both
郿,Both
邽,Both
邴,Both
酆,Both
郗,Both
郊,Both
部,Both
郳,Both
鄞,Both
邛,Both
鄈,Unknown
陟,Both
陂,Both
阹,Both
隃,Unknown
阮,Both
陷,Both
阯,Unknown
阼,Both
防,Both
院,Both
阻,Both
附,Both
除,Both
陪,Both
阽,Both
険,Unknown
隒,Both
障,Both
限,Both
阞,Unknown
陋,Both
陥,Unknown
隘,Both
隰,Both
陃,Unknown
陌,Both
陔,Both
阢,Both
陴,Both
隔,Both
賎,Unknown
貮,Unknown
贁,Unknown
賉,Unknown
祊,Both
祉,Both
禳,Both
祜,Both
祩,Both
祦,Both
禩,Unknown
祔,Both
祀,Both
祝,Both
祫,Both
祈,Both
禘,Both
禔,Both
福,Both
祆,Both
神,Both
祼,Both
祅,Unknown
禫,Both
禛,Both
祁,Both
祖,Both
礽,Both
社,Both
祛,Both
禧,Both
祧,Both
祚,Both
祘,Unknown
祺,Both
禚,Both
祠,Both
祥,Both
祏,Both
頉,Unknown
顚,Unknown
頳,Unknown
頾,Unknown
頚,Unknown
頬,Unknown
閇,Both
閊,Unknown
閴,Unknown
閠,Unknown
閖,Unknown
闝,Unknown
靁,Unknown
霊,Unknown
霨,Unknown
霋,Unknown
雫,Both
廓,Both
廃,Unknown
府,Both
庻,Unknown
庖,Both
庥,Both
庳,Both
序,Both
廉,Both
度,Both
店,Both
広,Unknown
庚,Both
庠,Both
庽,Unknown
廰,Unknown
廙,Both
廤,Both
庶,Both
庋,Both
庭,Both
庉,Both
廊,Both
庁,Unknown
廏,Unknown
庿,Unknown
故,Both
敫,Both
敻,Unknown
敡,Both
攻,Both
攽,Both
敧,Unknown
敂,Unknown
敽,Unknown
敞,Both
放,Both
改,Both
敲,Both
整,Both
敾,Unknown
敝,Both
敄,Unknown
敯,Both
政,Both
救,Both
敭,Unknown
敹,Both
敔,Both
攸,Both
敋,Both
幛,Both
帢,Both
帔,Both
帖,Both
帵,Both
帽,Both
幦,Both
帯,Unknown
幈,Unknown
常,Both
市,Both
帰,Unknown
帊,Both
幚,Unknown
幢,Both
幎,Unknown
幅,Both
帝,Both
幌,Both
帛,Both
帕,Both
巿,Both
帿,Unknown
帷,Both
幤,Unknown
希,Both
幄,Both
帣,Both
竃,Unknown
醄,Unknown
醤,Unknown
醼,Unknown
醸,Unknown
醗,Unknown
醓,Unknown
釂,Unknown
酕,Unknown
畒,Unknown
申,Both
男,Both
甸,Both
由,Both
畜,Both
畋,Both
畿,Both
畚,Both
畁,Unknown
畾,Both
畳,Unknown
畦,Both
畷,Both
甲,Both
畛,Both
疂,Unknown
界,Both
畲,Both
畔,Both
畀,Both
畸,Both
畐,Both
畏,Both
甼,Both
靺,Both
靪,Both
鞞,Both
鞡,Both
鞃,Both
鞁,Both
鞭,Both
鞆,Both
鞮,Both
鞥,Both
靮,Both
鞄,Both
韀,Unknown
靿,Both
靷,Both
靰,Both
韅,Both
靶,Both
鞬,Both
靽,Both
靳,Both
靫,Both
鞺,Unknown
鞜,Both
靼,Both
靱,Unknown
趖,Both
赳,Both
赴,Both
越,Both
超,Both
赱,Unknown
趟,Both
趝,Unknown
趡,Both
茺,Both
萠,Both
葡,Both
蓚,Both
蓍,Both
菾,Both
菎,Both
苪,Both
萌,Both
藩,Both
藙,Both
芰,Both
萜,Both
蔧,Both
萩,Both
萃,Both
蕉,Both
苣,Both
菝,Both
茫,Both
葭,Both
蘸,Both
菲,Both
茄,Both
蕞,Both
茇,Both
苳,Both
苦,Both
荑,Both
菏,Both
菹,Both
葵,Both
芄,Both
芳,Both
苶,Both
芘,Both
薜,Both
萋,Both
菽,Both
芼,Both
茚,Both
蓉,Both
薰,Both
芹,Both
茼,Both
芩,Both
茵,Both
莘,Both
苷,Both
薿,Both
蒂,Both
艿,Both
萹,Both
莚,Both
蕂,Both
萘,Both
蓨,Both
芍,Both
蕹,Both
茬,Both
蔵,Both
若,Both
茳,Both
艽,Both
蓼,Both
蒟,Both
苙,Both
蕖,Both
芨,Both
菂,Both
蕾,Both
薸,Both
莽,Both
葶,Both
芋,Both
藕,Both
蔛,Both
莞,Both
菜,Both
茅,Both
芙,Both
莨,Both
菡,Both
芫,Both
芭,Both
芝,Both
茯,Both
虀,Both
茝,Both
茀,Both
蓗,Both
菟,Both
萁,Both
蒱,Both
茈,Both
荽,Both
虋,Both
莛,Both
萄,Both
芾,Both
蓐,Both
蘘,Both
茸,Both
蒲,Both
芤,Both
荸,Both
菆,Both
荻,Both
蔡,Both
萎,Both
葑,Both
荏,Both
苐,Both
菊,Both
芑,Both
蘥,Both
蓇,Both
荼,Both
蒿,Both
芡,Both
苄,Both
蔫,Both
薨,Both
芶,Both
蒹,Both
葺,Both
芮,Both
落,Both
茂,Both
菉,Both
薪,Both
蓁,Both
藠,Both
菼,Both
蔇,Both
英,Both
莪,Both
薤,Both
蓫,Both
蔉,Traditional
荵,Both
茌,Both
蔽,Both
蔬,Both
莒,Both
蓿,Both
蔓,Both
蓏,Both
薽,Both
蘗,Both
蒽,Both
荃,Both
菱,Both
芪,Both
苠,Both
蓊,Both
蓬,Both
蒺,Both
萏,Both
芧,Both
萸,Both
葫,Both
苯,Both
苴,Both
葄,Both
芽,Both
蒻,Both
菠,Both
荄,Both
苞,Both
薶,Both
芥,Both
蒯,Both
蘩,Both
莰,Both
蔻,Both
薁,Both
藁,Both
芬,Both
蓄,Both
茹,Both
荷,Both
菖,Both
芿,Both
芎,Both
芊,Both
藏,Both
荖,Both
葛,Both
葆,Both
茱,Both
芚,Both
苒,Both
莦,Both
菀,Both
苜,Both
葸,Both
蒴,Both
蕻,Both
蕙,Both
茢,Both
茨,Both
葳,Both
菶,Both
荀,Both
莉,Both
蔌,Both
藄,Both
芃,Both
蘨,Both
菥,Both
蒎,Both
茭,Both
蔟,Both
蒈,Both
苻,Both
萐,Both
葙,Both
茴,Both
菁,Both
芷,Both
葩,Both
萍,Both
葖,Both
薷,Both
芏,Both
茶,Both
薧,Both
蕃,Both
菪,Both
莟,Both
菅,Both
薐,Both
茗,Both
莆,Both
葜,Both
蘧,Both
藿,Both
菩,Both
莎,Both
荒,Both
莫,Both
董,Both
薄,Both
苑,Both
萑,Both
薏,Both
苗,Both
菘,Both
蓂,Both
藊,Both
蕗,Both
蕺,Both
葓,Both
芯,Both
蕨,Both
莙,Both
蒗,Both
茆,Both
苓,Both
莝,Both
藨,Both
藐,Both
茷,Both
蒜,Both
茁,Both
苾,Both
薇,Both
蓪,Both
蕸,Both
蔸,Both
葎,Both
苫,Both
薛,Both
藻,Both
芣,Both
苊,Both
蒡,Both
蔀,Both
葹,Both
蘅,Both
艾,Both
莠,Both
蓷,Both
茩,Both
蓓,Both
茖,Both
茛,Both
蘼,Both
洌,Both
漂,Both
湱,Both
灞,Both
淯,Both
洺,Both
瀺,Both
溍,Both
濈,Both
滑,Both
滍,Both
淝,Both
湖,Both
涘,Both
涊,Both
泱,Both
汝,Both
滘,Both
溦,Both
海,Both
溲,Both
漈,Both
澽,Both
瀌,Both
渭,Both
渋,Traditional
濔,Traditional
渣,Both
湓,Both
混,Both
潟,Traditional
湨,Both
浛,Both
淞,Both
瀡,Both
瀞,Both
潾,Both
沘,Both
瀍,Both
港,Both
湉,Both
洳,Both
汲,Both
漏,Both
滫,Both
潗,Both
漘,Both
涿,Both
沭,Both
湝,Both
湫,Both
洚,Both
泰,Both
灥,Both
瀛,Both
漥,Both
澨,Both
澥,Both
清,Traditional
溠,Both
滕,Both
漭,Both
潏,Both
泠,Both
潢,Both
澉,Both
池,Both
漠,Both
渼,Both
漤,Both
渴,Both
潠,Both
涴,Both
潲,Both
濡,Both
汭,Both
浸,Both
淙,Both
消,Both
涔,Both
濩,Both
濮,Both
滽,Both
渝,Both
澡,Both
潘,Both
汐,Both
汾,Both
湛,Both
滹,Both
洲,Both
灌,Both
滃,Both
濙,Traditional
汆,Both
溴,Both
涓,Both
流,Both
濯,Both
凼,Both
溱,Both
液,Both
洧,Both
涵,Both
浜,Both
潖,Both
漉,Both
沿,Both
湔,Both
泜,Both
汍,Both
泚,Both
渠,Both
溥,Both
洱,Both
泒,Both
溪,Both
氹,Both
咡,Both
啌,Both
名,Both
咎,Both
嗾,Both
善,Both
喋,Both
噀,Both
吡,Both
喩,Both
喝,Both
呶,Both
哨,Both
吾,Both
唷,Both
嚄,Both
嚆,Both
嘛,Both
嗜,Both
呰,Both
哎,Both
喻,Both
呸,Both
嗖,Both
噳,Both
喏,Both
唳,Both
噬,Both
噆,Both
嗼,Both
啁,Both
商,Both
嘐,Both
啡,Both
呈,Both
喵,Both
哮,Both
叭,Both
哤,Both
噶,Both
嗐,Both
噱,Both
咾,Both
唵,Both
嗵,Both
嘌,Both
呤,Both
咫,Both
嘒,Both
唆,Both
噢,Both
唼,Both
嗷,Both
呲,Both
喉,Both
咴,Both
嚅,Both
噙,Both
喈,Both
喟,Both
噤,Both
哆,Both
嗟,Both
嗓,Both
嚭,Both
嗡,Both
嗤,Both
呱,Both
咧,Both
吩,Both
嚃,Both
呧,Both
呎,Both
喁,Both
嗄,Both
嚓,Both
嗸,Both
吪,Both
噗,Both
啾,Both
嗢,Both
嘬,Both
咠,Both
喳,Both
栵,Both
枇,Both
椓,Both
檇,Traditional
桭,Both
梳,Both
樛,Both
棯,Both
樗,Both
杢,Both
枘,Both
柢,Both
檎,Both
棼,Both
榭,Both
梭,Both
梄,Both
梐,Both
楷,Both
橡,Both
棪,Both
槾,Both
棻,Both
枌,Both
椛,Both
楀,Both
杻,Both
檑,Both
橒,Traditional
椈,Both
櫜,Both
櫆,Both
橄,Both
模,Both
栘,Both
楢,Both
栓,Both
案,Both
槢,Both
椌,Both
桀,Both
榆,Both
栳,Both
李,Both
檨,Both
杗,Both
檖,Both
槥,Both
楛,Both
柝,Both
槲,Both
棍,Both
槙,Traditional
梢,Both
桷,Both
槐,Both
椄,Both
柅,Both
楸,Both
染,Both
梊,Both
楄,Both
楬,Both
樶,Both
森,Both
棨,Both
桑,Both
柸,Both
栃,Both
梫,Both
楔,Both
槃,Both
棠,Both
杏,Both
楪,Both
桯,Both
橁,Both
杲,Both
榾,Both
槺,Both
檫,Both
桉,Both
梴,Both
樋,Both
榤,Both
榻,Both
楘,Both
棸,Both
梵,Both
栩,Both
橕,Both
柴,Both
枲,Both
栔,Both
橘,Both
樝,Both
椸,Both
棙,Both
檬,Both
檗,Both
棣,Both
柔,Both
欃,Both
杳,Both
梠,Both
桵,Both
梆,Both
橾,Both
檞,Both
攉,Both
撰,Traditional
挈,Both
搲,Both
操,Both
拝,Both
扱,Both
擙,Both
揆,Both
摰,Both
捥,Both
拴,Both
搋,Both
扭,Both
摎,Both
撤,Both
掯,Both
摸,Both
搡,Both
扽,Both
指,Both
揳,Both
揕,Both
掮,Both
揩,Both
撖,Both
扨,Both
捐,Both
搽,Both
捘,Both
捔,Both
批,Both
摛,Both
搧,Both
承,Both
攃,Both
撱,Both
描,Both
捺,Both
摽,Both
撙,Both
搏,Both
掞,Both
播,Both
拶,Both
挖,Both
攥,Both
掫,Both
摹,Both
捩,Both
擩,Both
揄,Both
振,Both
揁,Traditional
排,Both
摦,Both
摩,Both
搦,Both
摝,Both
搳,Both
擂,Both
搓,Both
控,Both
捻,Both
撚,Both
抜,Both
撬,Both
抓,Both
掻,Both
探,Both
擦,Both
撒,Both
掖,Both
擖,Both
挓,Both
揖,Both
擭,Both
扡,Both
抱,Both
搆,Traditional
擢,Both
扒,Both
揲,Both
搔,Both
抉,Both
捎,Both
撮,Both
拔,Both
揹,Traditional
拒,Both
持,Both
接,Both
擎,Both
扮,Both
搢,Both
搘,Both
揉,Both
揠,Both
拎,Both
捜,Both
銎,Both
鈊,Traditional
鏴,Traditional
鋆,Both
鈌,Traditional
鉱,Traditional
鏊,Both
鋲,Traditional
錬,Traditional
鏖,Both
鐻,Traditional
鎤,Traditional
鋕,Traditional
鍸,Traditional
懂,Both
恀,Both
恉,Both
懊,Both
惠,Both
悄,Both
惔,Both
恃,Both
忘,Both
忪,Both
快,Both
懻,Both
懈,Both
愀,Both
感,Both
愎,Both
慧,Both
慅,Both
情,Both
忿,Both
慌,Both
怏,Both
憺,Both
愒,Both
悟,Both
慕,Both
恕,Both
怒,Both
慵,Both
急,Both
愁,Both
慜,Both
忸,Both
憀,Both
懋,Both
悰,Both
悱,Both
惌,Both
愓,Traditional
懅,Both
慰,Both
慎,Both
恢,Both
恁,Both
惘,Both
悜,Both
恣,Both
慓,Both
悸,Both
懦,Both
惼,Both
怵,Both
忙,Both
懿,Both
恬,Both
愮,Both
恝,Both
怩,Both
慥,Both
惋,Both
慢,Both
悲,Both
憨,Both
愖,Both
懆,Both
慝,Both
惰,Both
怓,Both
惄,Both
慴,Traditional
悆,Both
憎,Both
慨,Both
恵,Both
悛,Both
悾,Both
懃,Traditional
惹,Both
愚,Both
憾,Both
惆,Both
烤,Both
烀,Both
煸,Both
煻,Both
煲,Both
燠,Both
熺,Both
烔,Both
煨,Both
焴,Both
勲,Traditional
煣,Both
燋,Both
焞,Both
熊,Both
燮,Both
熄,Both
爊,Both
焜,Both
燔,Both
炔,Both
炻,Both
燊,Both
炷,Both
焯,Both
煞,Both
炅,Both
燚,Both
煤,Both
烽,Both
焙,Both
煃,Both
熬,Both
爚,Both
炱,Both
熥,Both
煌,Both
熵,Both
燧,Both
焌,Both
煚,Both
燥,Both
熘,Both
煽,Both
烋,Both
炳,Both
燏,Both
燃,Both
焚,Both
烺,Both
焐,Both
烈,Both
烷,Both
爝,Both
熯,Both
熛,Both
燹,Both
畑,Both
爟,Both
烯,Both
煝,Both
煎,Both
炊,Both
煜,Both
炙,Both
然,Both
烓,Both
炬,Both
爨,Both
焱,Both
爆,Both
灼,Both
熀,Both
炭,Both
炎,Both
灺,Both
烙,Both
灸,Both
炘,Both
炕,Both
炒,Both
焮,Both
煊,Both
燎,Both
熳,Both
熸,Both
僧,Both
偢,Both
偨,Both
倥,Both
令,Both
像,Both
仞,Both
儦,Both
倭,Both
佽,Both
儗,Traditional
偈,Both
儋,Both
佾,Both
僣,Both
伶,Both
侑,Both
假,Both
傞,Both
佞,Both
僄,Both
倩,Both
信,Both
儌,Both
僶,Traditional
侍,Both
儚,Both
侘,Both
保,Both
傒,Both
儜,Traditional
伋,Both
似,Both
俺,Both
偰,Both
俸,Both
侻,Both
僎,Both
侃,Both
僭,Both
侹,Both
今,Both
傅,Both
傀,Both
偕,Both
僯,Both
侫,Both
佌,Both
佘,Both
僈,Both
佴,Both
俏,Both
侈,Both
傺,Both
儽,Traditional
佺,Both
僇,Both
儳,Both
儵,Both
僳,Both
倻,Both
伾,Both
倜,Both
侴,Both
偌,Both
俳,Both
侯,Both
俴,Traditional
何,Both
什,Both
候,Both
偫,Both
仮,Both
例,Both
佤,Both
偶,Both
侵,Both
偏,Both
傲,Both
地,Both
埏,Both
増,Both
坼,Both
堧,Both
堨,Both
堰,Both
堞,Both
墒,Both
增,Both
堡,Both
埈,Both
均,Both
堶,Both
堉,Both
墓,Both
墡,Both
坻,Both
坴,Both
坱,Both
坒,Both
圾,Both
塕,Both
埝,Both
埵,Both
堪,Both
埭,Both
墚,Both
墁,Both
埕,Both
埃,Both
壖,Both
堎,Both
垂,Both
墉,Both
塈,Both
壌,Both
埆,Both
墺,Both
垞,Both
塭,Both
堠,Both
塌,Both
壤,Both
墦,Both
紫,Both
絜,Both
縏,Both
縻,Both
纛,Both
繁,Both
繄,Both
綮,Both
絮,Both
繇,Both
蝮,Both
螵,Both
蟾,Both
蛸,Both
蠡,Both
蝓,Both
蛉,Both
蟓,Both
蠛,Both
蜣,Both
蟥,Both
蠖,Both
螓,Both
蜚,Both
蝛,Both
蟨,Both
蟠,Both
蝙,Both
螭,Both
蟕,Both
蚩,Both
蜻,Both
蠓,Both
蜩,Both
蜰,Both
蛩,Both
蚣,Both
虻,Both
蜒,Both
蜿,Both
螌,Both
螉,Both
螋,Both
蠮,Both
蠵,Both
蚍,Both
蝴,Both
螯,Both
蟒,Both
蟆,Both
蜎,Both
蝘,Both
蝤,Both
蚜,Both
蚳,Both
蜈,Both
蜃,Both
蠸,Both
蟋,Both
笮,Both
筒,Both
篌,Both
簪,Both
笴,Both
笆,Both
篨,Both
筊,Both
策,Both
筲,Both
笭,Both
簰,Both
箝,Both
筘,Both
筷,Both
篇,Both
筵,Both
笲,Both
符,Both
筬,Both
簇,Both
篥,Both
筤,Both
籓,Both
笫,Both
篾,Both
簦,Both
箯,Both
笯,Both
笏,Both
笊,Both
箱,Both
篷,Both
筐,Both
笙,Both
篁,Both
竺,Both
箘,Both
筻,Both
筋,Both
筅,Both
筌,Both
笈,Both
箚,Both
等,Both
箑,Both
篅,Both
篚,Both
笐,Both
簉,Both
簃,Both
篝,Both
笰,Both
筠,Both
箜,Both
笹,Both
簟,Both
簿,Both
箬,Both
簏,Both
筮,Both
箕,Both
簧,Both
箷,Both
笪,Both
篰,Both
筈,Both
箄,Both
筰,Both
箵,Both
籰,Both
籍,Both
篙,Both
笥,Both
篆,Both
籊,Both
笄,Both
笸,Both
筢,Both
竽,Both
箐,Both
箙,Both
筥,Both
籀,Both
籝,Traditional
篲,Both
第,Both
箭,Both
箅,Both
笠,Both
筇,Both
笱,Both
笳,Both
簸,Both
笞,Both
籧,Both
謦,Both
詹,Both
謷,Both
訾,Both
妸,Both
嫘,Both
姚,Both
婐,Both
嫡,Both
姫,Both
娭,Both
嫖,Both
婤,Both
娀,Both
媾,Both
威,Both
姱,Both
媕,Both
妘,Both
嫟,Both
婕,Both
姺,Both
婷,Both
妞,Both
婗,Both
婉,Both
委,Both
姌,Both
媵,Both
媬,Both
姅,Both
姮,Both
嬔,Both
姘,Both
嬴,Both
婆,Both
娑,Both
婚,Both
嫭,Both
好,Both
嬛,Both
嫄,Both
孅,Both
如,Both
嫠,Both
妮,Both
妍,Both
娟,Both
媔,Both
姨,Both
姓,Both
媚,Both
姞,Both
娼,Both
媊,Both
媒,Both
婼,Both
妄,Both
嬓,Both
娒,Both
媳,Both
婢,Both
娥,Both
媤,Both
姒,Both
婧,Both
姿,Both
嬉,Both
娜,Both
娖,Both
媸,Both
娶,Both
娸,Both
妁,Both
姁,Both
妖,Both
妾,Both
嫏,Both
嫣,Both
嫜,Both
姐,Both
婥,Both
始,Both
嫌,Both
娉,Both
婞,Both
姑,Both
妨,Both
婊,Both
嬎,Both
娓,Both
妓,Both
娵,Both
姤,Both
娣,Both
嬗,Both
妎,Both
姪,Traditional
姝,Both
婺,Both
妥,Both
媛,Both
奴,Both
妻,Both
嬬,Both
嬖,Both
妣,Both
妲,Both
姬,Both
婪,Both
嫪,Both
妃,Both
嬿,Both
嫁,Both
媻,Both
嫂,Both
媖,Both
嫚,Both
嫦,Both
媟,Both
妵,Both
妗,Both
姽,Both
媥,Both
娌,Both
媞,Both
娃,Both
妯,Both
媢,Both
鶏,Traditional
嵎,Both
巌,Traditional
崚,Both
崿,Both
嶓,Both
峱,Both
岈,Both
岔,Both
嶞,Both
嶰,Both
岐,Both
峪,Both
嵳,Both
嶙,Both
嵁,Both
峂,Both
岑,Both
崳,Both
嵋,Both
崦,Both
嵆,Both
峋,Both
岷,Both
峙,Both
嵲,Both
巇,Both
崴,Both
崌,Both
嶅,Both
崛,Both
屼,Both
嵊,Both
崇,Both
嶂,Both
巂,Both
岵,Both
崐,Traditional
崤,Both
崾,Both
峻,Both
岬,Both
嵯,Both
岣,Both
嶒,Both
嵴,Both
嶷,Both
嵬,Both
岍,Both
屺,Both
岞,Both
嶍,Both
嵫,Both
崆,Both
岫,Both
崞,Both
峿,Both
屹,Both
岌,Both
肭,Both
脒,Both
膌,Both
胹,Both
肏,Both
腶,Both
臀,Both
膛,Both
臑,Both
腺,Both
臛,Both
肥,Both
臂,Both
胙,Both
脞,Both
膦,Both
脂,Both
胝,Both
膣,Both
脊,Both
胴,Both
脝,Both
胖,Both
膈,Both
肜,Both
肫,Both
肚,Both
肸,Both
膏,Both
臄,Both
腈,Both
腥,Both
脾,Both
肼,Both
肩,Both
脡,Both
脬,Both
胏,Both
脘,Both
胰,Both
胎,Both
腚,Both
肺,Both
胱,Both
腹,Both
腑,Both
膀,Both
膨,Both
胈,Both
肝,Both
膝,Both
腯,Both
腔,Both
膪,Both
胂,Both
肖,Both
脤,Both
能,Both
腴,Both
腧,Both
膊,Both
胲,Both
膂,Both
肙,Both
肓,Both
臆,Both
腆,Both
胍,Both
脢,Both
腒,Both
胬,Both
胺,Both
脲,Both
膜,Both
腱,Both
胠,Both
胤,Both
肛,Both
腓,Both
肪,Both
膙,Both
胛,Both
胞,Both
膗,Both
胥,Both
脖,Both
膰,Both
膲,Both
腰,Both
臃,Both
胩,Both
腙,Both
腍,Both
腋,Both
脯,Both
肌,Both
臌,Both
肘,Both
膟,Both
脎,Both
肽,Both
胦,Both
肟,Both
腠,Both
膺,Both
肋,Both
脰,Both
胃,Both
琇,Both
琀,Both
琨,Both
瓘,Both
瑀,Both
玨,Traditional
瑟,Both
璥,Both
玡,Both
瓀,Both
琬,Both
璆,Both
璩,Both
璘,Both
琥,Both
璞,Both
琊,Both
璺,Both
琮,Both
玤,Both
琭,Both
璚,Both
璪,Both
琤,Both
瑳,Both
玲,Both
玼,Both
班,Both
琛,Both
玭,Both
琶,Both
瑜,Both
琲,Both
璈,Both
璠,Both
璨,Both
璜,Both
琵,Both
瑛,Both
珊,Both
瑚,Both
琰,Both
珥,Both
玢,Both
琴,Both
玦,Both
璲,Both
瑰,Both
晏,Both
曽,Both
晨,Both
昑,Both
暮,Both
昀,Both
曚,Both
暨,Both
耆,Both
曣,Both
晴,Both
暵,Both
暹,Both
晷,Both
昤,Both
晗,Both
暍,Both
昄,Both
晻,Traditional
晼,Both
旨,Both
晙,Both
瞇,Traditional
直,Both
眅,Both
睒,Both
眹,Both
睊,Both
矗,Both
瞎,Both
睖,Both
瞟,Both
瞵,Both
眯,Both
睃,Both
睽,Both
瞄,Both
睛,Both
眢,Both
盼,Both
睦,Both
盲,Both
盻,Both
睡,Both
眵,Both
瞻,Both
瞢,Both
磺,Both
碥,Both
磲,Both
砹,Both
磷,Both
礞,Both
礵,Both
磟,Traditional
礤,Both
碌,Both
碆,Both
磨,Both
碴,Both
礌,Both
砉,Both
碉,Both
礴,Both
礳,Both
砑,Both
磔,Both
磈,Both
磐,Both
硾,Both
磓,Both
磻,Both
礡,Both
硫,Both
碶,Both
砿,Traditional
碑,Both
硝,Both
碟,Both
磋,Both
碣,Both
砮,Both
碳,Both
磉,Both
碡,Both
矽,Both
蹊,Both
跫,Both
蹀,Both
躞,Both
趹,Both
蹩,Both
蹂,Both
踒,Both
蹲,Both
跅,Both
躐,Both
蹁,Both
躔,Both
躠,Both
蹅,Both
跋,Both
踼,Traditional
距,Both
蹉,Both
趴,Both
跧,Both
踆,Both
跚,Both
蹯,Both
踠,Both
躇,Both
趿,Both
蹼,Both
蹐,Both
跱,Both
蹙,Both
遽,Both
逍,Both
迒,Both
遫,Both
迣,Both
遒,Both
遏,Both
遨,Both
遵,Both
迿,Both
逡,Both
遻,Both
迍,Both
邋,Both
遴,Both
迅,Both
迷,Both
迠,Both
迓,Both
邀,Both
逆,Both
逅,Both
逴,Both
遐,Both
逋,Both
迎,Both
逐,Both
退,Both
迭,Both
遮,Both
道,Both
近,Both
造,Both
避,Both
邃,Both
迦,Both
遛,Both
遢,Both
途,Both
逝,Both
逌,Both
返,Both
追,Both
迄,Both
遝,Both
迋,Both
遂,Both
透,Both
遣,Both
邂,Both
逶,Both
逗,Both
逑,Both
迮,Both
迂,Both
辷,Both
逄,Both
逭,Both
逯,Both
逢,Both
述,Both
迥,Both
遹,Both
逛,Both
遄,Both
邈,Both
通,Both
送,Both
迢,Both
遘,Both
辻,Both
辿,Both
迸,Both
遑,Both
逵,Both
遇,Both
襚,Both
袂,Both
袽,Both
衾,Both
褡,Both
裹,Both
裯,Both
褰,Both
裴,Both
褞,Both
裵,Both
褥,Both
裶,Both
裘,Both
褕,Both
褐,Both
褉,Both
褙,Both
褪,Both
衲,Both
褽,Both
襦,Both
裎,Both
裔,Both
褊,Both
袛,Both
褫,Both
裂,Both
瘥,Both
瘳,Both
瘃,Both
痊,Both
痿,Both
癀,Both
瘝,Both
疾,Both
瘠,Both
痩,Both
瘯,Both
痵,Both
瘭,Both
瘖,Traditional
痔,Both
瘩,Both
瘦,Both
疵,Both
癙,Both
疝,Both
瘢,Both
瘊,Both
瘼,Both
瘈,Both
痰,Both
瘙,Both
疢,Both
痚,Both
痱,Both
痞,Both
疕,Both
瘵,Both
瘟,Both
痏,Both
痦,Both
痑,Both
痜,Both
瘛,Both
駄,Traditional
秧,Both
穊,Both
穟,Both
秠,Both
秦,Both
稍,Both
穄,Both
秫,Both
秪,Both
程,Both
稑,Both
秀,Both
稷,Both
穈,Both
穋,Both
穮,Both
稔,Both
秬,Both
稠,Both
猲,Both
獝,Both
狄,Both
獴,Both
獘,Traditional
狃,Both
猰,Both
猴,Both
獒,Both
猜,Both
猹,Both
狴,Both
猱,Both
獉,Both
狉,Both
獬,Both
猷,Both
獀,Both
猾,Both
犮,Both
狖,Both
猺,Both
猢,Both
狐,Both
餮,Both
饔,Both
剽,Both
前,Both
剺,Both
剰,Both
刵,Both
割,Both
判,Both
削,Both
劘,Both
剡,Both
剨,Both
剜,Both
劖,Both
劐,Both
列,Both
寓,Both
安,Both
寥,Both
害,Both
宛,Both
宗,Both
寤,Both
寖,Both
宅,Both
寞,Both
宥,Both
宵,Both
宸,Both
糌,Both
粼,Both
粹,Both
糎,Both
糔,Both
粥,Both
粑,Both
粔,Both
粲,Both
粉,Both
精,Both
粕,Both
粢,Both
粟,Both
籾,Both
糒,Both
糜,Both
糢,Both
籹,Both
米,Both
粨,Both
籸,Both
糗,Both
糈,Both
粁,Both
粒,Both
糊,Both
粍,Both
粿,Both
糅,Both
籵,Both
粞,Both
粱,Both
籽,Both
糱,Both
鄯,Both
邶,Both
酅,Both
鄏,Both
鄋,Both
鄠,Both
鄙,Both
郪,Both
鄑,Both
邳,Both
鄚,Both
鄀,Both
邿,Both
鄾,Both
酃,Both
郢,Both
鄄,Both
邦,Both
邙,Both
邸,Both
郯,Both
郾,Both
邪,Both
鄘,Both
陛,Both
陲,Both
陬,Both
阤,Both
隳,Both
隋,Both
陾,Both
隅,Both
隗,Both
賏,Traditional
祲,Both
禤,Both
票,Both
禠,Both
禁,Both
祟,Both
禋,Both
禑,Both
禢,Both
禨,Traditional
祗,Both
禖,Both
祓,Both
祂,Both
祭,Both
禊,Both
闘,Traditional
霂,Both
霄,Both
震,Both
霎,Both
霫,Both
霾,Both
霹,Both
雩,Both
霤,Both
露,Both
雯,Both
霈,Both
霖,Both
霅,Both
霆,Both
霓,Both
霃,Both
霝,Both
雹,Both
雪,Both
霏,Both
霪,Both
霙,Both
霱,Both
零,Both
